txid,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,network_timestamp,connection_duration_sec,packet_count,bytes_transferred,src_country,dst_country,src_asn,dst_asn
TX10008769,2026-01-01 15:39:00,10.11.10.8,10.15.10.8,8333,8333,TCP,2026-01-01 15:38:51,78.79,210,41914,US,IN,AS15169,AS55836
TX10002728,2026-01-01 15:55:00,10.15.30.8,10.14.30.6,18333,8333,TCP,2026-01-01 15:54:43,37.575,27,19151,US,US,AS15169,AS15169
TX10009296,2026-01-01 16:18:00,10.12.20.3,10.12.30.7,18444,8333,TCP,2026-01-01 16:17:46,4.381,82,48732,IN,SG,AS4755,AS4657
TX10000355,2026-01-01 17:26:00,10.13.20.7,10.11.30.4,18444,8333,TCP,2026-01-01 17:25:58,4.917,3219,324478,NL,IN,AS6830,AS4755
TX10005645,2026-01-01 17:53:00,10.13.30.1,10.15.20.3,8333,8333,TCP,2026-01-01 17:52:57,80.064,319,55872,DE,SG,AS3320,AS9506
TX10009858,2026-01-01 18:13:00,10.13.10.6,10.14.10.4,18333,8333,TCP,2026-01-01 18:12:59,77.361,391,51285,NL,GB,AS1136,AS5089
TX10009946,2026-01-01 18:26:00,10.13.10.8,10.13.30.5,8333,8333,TCP,2026-01-01 18:25:48,36.0,112,23596,IN,IN,AS45609,AS4755
TX10005771,2026-01-01 19:06:00,10.12.20.4,10.13.10.5,8333,8333,TCP,2026-01-01 19:05:44,37.973,358,56173,GB,US,AS5089,AS15169
TX10008923,2026-01-01 19:26:00,10.12.10.7,10.11.10.6,18444,8333,TCP,2026-01-01 19:25:47,67.607,217,4494,US,US,AS7018,AS7018
TX10008585,2026-01-01 20:06:00,10.14.10.7,10.14.20.6,18333,8333,TCP,2026-01-01 20:05:45,63.797,260,48816,SG,US,AS4657,AS7018
TX10001861,2026-01-01 20:12:00,10.15.10.6,10.12.10.8,18333,8333,TCP,2026-01-01 20:11:47,15.079,214,33545,GB,AU,AS5089,AS4804
TX10007087,2026-01-01 20:49:00,10.12.30.6,10.14.30.7,18333,8333,TCP,2026-01-01 20:48:58,40.338,383,43058,IN,US,AS55836,AS15169
TX10008722,2026-01-01 21:13:00,10.13.10.1,10.11.10.6,18333,8333,TCP,2026-01-01 21:12:50,22.322,81,31711,GB,AU,AS5089,AS1221
TX10000125,2026-01-01 21:52:00,10.14.30.1,10.13.20.2,18333,8333,TCP,2026-01-01 21:51:46,6.539,2209,577955,IN,US,AS45609,AS7922
TX10007563,2026-01-01 22:32:00,10.13.20.2,10.15.20.8,8333,8333,TCP,2026-01-01 22:31:41,63.617,307,20339,IN,US,AS45609,AS7018
TX10002057,2026-01-01 22:34:00,10.12.10.8,10.14.20.2,18444,8333,TCP,2026-01-01 22:33:58,40.865,28,1252,US,IN,AS7922,AS45609
TX10008449,2026-01-01 22:59:00,10.12.30.6,10.15.20.8,18444,8333,TCP,2026-01-01 22:58:44,83.016,195,50780,DE,SG,AS6805,AS9506
TX10002003,2026-01-01 23:27:00,10.15.20.5,10.15.20.2,18444,8333,TCP,2026-01-01 23:26:57,49.249,75,20274,IN,CA,AS45609,AS577
TX10006958,2026-01-01 23:32:00,10.12.30.3,10.13.30.3,8333,8333,TCP,2026-01-01 23:32:00,37.916,279,38957,US,IN,AS15169,AS55836
TX10005914,2026-01-01 23:35:00,10.15.30.5,10.12.20.8,8333,8333,TCP,2026-01-01 23:34:55,38.268,114,7526,AU,US,AS4804,AS7018
TX10009901,2026-01-01 23:48:00,10.11.20.1,10.12.10.1,8333,8333,TCP,2026-01-01 23:48:00,75.474,237,6647,AU,GB,AS1221,AS2856
TX10000076,2026-01-01 23:48:00,10.12.10.3,10.15.30.5,8333,8333,TCP,2026-01-01 23:47:54,4.236,4589,215113,GB,SG,AS2856,AS4657
TX10004810,2026-01-01 23:48:00,10.11.30.5,10.12.30.2,8333,8333,TCP,2026-01-01 23:47:47,40.289,307,28835,GB,CA,AS2856,AS577
TX10004681,2026-01-02 01:16:00,10.14.30.6,10.15.30.6,18444,8333,TCP,2026-01-02 01:15:44,42.741,341,25861,IN,SG,AS4755,AS9506
TX10002579,2026-01-02 01:30:00,10.13.10.3,10.12.30.6,8333,8333,TCP,2026-01-02 01:29:49,37.539,178,19192,IN,NL,AS55836,AS1136
TX10000652,2026-01-02 01:31:00,10.15.10.2,10.14.20.1,8333,8333,TCP,2026-01-02 01:30:58,8.794,3336,196335,AU,US,AS4804,AS7922
TX10005568,2026-01-02 01:38:00,10.14.30.1,10.11.20.4,18333,8333,TCP,2026-01-02 01:37:52,43.685,221,49876,IN,NL,AS45609,AS6830
TX10008495,2026-01-02 01:53:00,10.14.20.5,10.14.20.7,18444,8333,TCP,2026-01-02 01:52:51,58.879,258,17298,IN,SG,AS55836,AS9506
TX10002551,2026-01-02 02:04:00,10.13.30.7,10.14.20.6,8333,8333,TCP,2026-01-02 02:03:53,17.462,105,41298,US,US,AS15169,AS15169
TX10006554,2026-01-02 02:22:00,10.14.30.5,10.12.30.8,8333,8333,TCP,2026-01-02 02:21:47,26.088,161,42305,IN,DE,AS45609,AS6805
TX10005100,2026-01-02 02:43:00,10.15.30.6,10.12.30.4,18444,8333,TCP,2026-01-02 02:42:57,44.472,114,35292,IN,AU,AS4755,AS1221
TX10000774,2026-01-02 02:47:00,10.11.10.2,10.11.10.7,18333,8333,TCP,2026-01-02 02:46:56,11.826,611,794002,CA,SG,AS577,AS4657
TX10003369,2026-01-02 03:16:00,10.12.10.6,10.12.30.1,18444,8333,TCP,2026-01-02 03:15:53,55.082,327,39656,NL,IN,AS1136,AS45609
TX10009160,2026-01-02 03:43:00,10.14.30.4,10.15.20.1,18444,8333,TCP,2026-01-02 03:42:44,63.66,258,32515,NL,NL,AS6830,AS1136
TX10008945,2026-01-02 03:54:00,10.13.20.6,10.11.30.8,8333,8333,TCP,2026-01-02 03:53:59,58.44,320,33534,IN,DE,AS45609,AS6805
TX10003657,2026-01-02 03:54:00,10.11.20.2,10.15.30.7,18333,8333,TCP,2026-01-02 03:53:45,70.583,145,27511,GB,AU,AS2856,AS4804
TX10003640,2026-01-02 04:01:00,10.11.30.1,10.13.20.8,18444,8333,TCP,2026-01-02 04:00:55,34.597,197,23944,DE,IN,AS6805,AS4755
TX10000191,2026-01-02 04:47:00,10.13.10.7,10.13.30.6,18333,8333,TCP,2026-01-02 04:46:41,2.897,3620,760971,DE,IN,AS3320,AS55836
TX10002289,2026-01-02 04:55:00,10.15.30.2,10.13.30.3,8333,8333,TCP,2026-01-02 04:54:58,40.375,90,34558,US,US,AS7018,AS15169
TX10008626,2026-01-02 05:04:00,10.15.20.4,10.14.20.6,18333,8333,TCP,2026-01-02 05:03:47,27.719,44,54958,IN,GB,AS45609,AS2856
TX10003531,2026-01-02 05:14:00,10.11.30.1,10.11.30.1,18333,8333,TCP,2026-01-02 05:13:47,69.34,114,39735,CA,DE,AS577,AS3320
TX10009520,2026-01-02 06:21:00,10.12.10.2,10.11.30.5,18444,8333,TCP,2026-01-02 06:20:41,61.382,294,15525,US,SG,AS15169,AS9506
TX10000922,2026-01-02 06:47:00,10.13.20.5,10.14.20.4,8333,8333,TCP,2026-01-02 06:46:41,8.233,1981,463816,SG,NL,AS9506,AS1136
TX10005392,2026-01-02 08:05:00,10.12.10.3,10.12.10.3,18333,8333,TCP,2026-01-02 08:04:41,85.721,358,53919,NL,DE,AS6830,AS3320
TX10001688,2026-01-02 08:14:00,10.12.20.8,10.13.30.4,8333,8333,TCP,2026-01-02 08:13:52,61.654,320,42269,IN,IN,AS4755,AS45609
TX10001146,2026-01-02 08:52:00,10.15.30.6,10.12.20.2,8333,8333,TCP,2026-01-02 08:51:56,18.248,321,28238,IN,CA,AS55836,AS812
TX10001886,2026-01-02 09:17:00,10.13.30.3,10.12.10.6,8333,8333,TCP,2026-01-02 09:16:57,28.554,375,39022,US,US,AS7922,AS7922
TX10007161,2026-01-02 09:42:00,10.13.30.4,10.14.20.1,18333,8333,TCP,2026-01-02 09:41:43,22.186,198,31428,US,GB,AS7922,AS5089
TX10002033,2026-01-02 10:02:00,10.15.10.1,10.13.10.7,18333,8333,TCP,2026-01-02 10:01:55,54.509,32,22481,US,AU,AS7922,AS1221
TX10006302,2026-01-02 10:10:00,10.14.30.3,10.14.20.8,8333,8333,TCP,2026-01-02 10:09:50,88.585,40,53033,AU,US,AS4804,AS7922
TX10005355,2026-01-02 10:19:00,10.14.10.4,10.12.10.4,18333,8333,TCP,2026-01-02 10:18:50,69.033,243,46779,IN,SG,AS4755,AS4657
TX10002635,2026-01-02 10:33:00,10.13.30.6,10.13.20.8,18333,8333,TCP,2026-01-02 10:32:46,39.909,310,14643,SG,SG,AS9506,AS4657
TX10008845,2026-01-02 11:49:00,10.15.10.8,10.15.20.6,18444,8333,TCP,2026-01-02 11:48:53,4.4,353,23463,GB,IN,AS5089,AS55836
TX10000049,2026-01-02 13:17:00,10.14.10.4,10.14.30.6,8333,8333,TCP,2026-01-02 13:16:41,3.135,1528,667217,GB,CA,AS2856,AS577
TX10001900,2026-01-02 13:36:00,10.13.20.5,10.11.10.4,8333,8333,TCP,2026-01-02 13:35:47,28.265,108,17599,IN,SG,AS55836,AS9506
TX10001408,2026-01-02 13:40:00,10.13.10.1,10.11.10.2,18333,8333,TCP,2026-01-02 13:39:49,55.942,197,28683,IN,DE,AS45609,AS3320
TX10002249,2026-01-02 15:20:00,10.13.30.7,10.15.30.4,18333,8333,TCP,2026-01-02 15:19:53,85.657,293,35483,US,DE,AS15169,AS3320
TX10005154,2026-01-02 15:28:00,10.14.10.5,10.12.10.4,8333,8333,TCP,2026-01-02 15:27:56,13.403,143,42736,IN,SG,AS55836,AS9506
TX10006055,2026-01-02 15:45:00,10.13.20.1,10.14.10.3,8333,8333,TCP,2026-01-02 15:44:57,41.819,322,24012,DE,CA,AS6805,AS812
TX10005747,2026-01-02 16:30:00,10.13.10.8,10.13.30.4,8333,8333,TCP,2026-01-02 16:29:49,61.174,325,9201,SG,CA,AS9506,AS577
TX10007375,2026-01-02 17:05:00,10.14.30.5,10.11.20.4,8333,8333,TCP,2026-01-02 17:04:54,17.471,175,12890,DE,AU,AS3320,AS4804
TX10008481,2026-01-02 17:35:00,10.11.30.5,10.11.10.5,8333,8333,TCP,2026-01-02 17:34:50,60.534,384,30471,DE,IN,AS3320,AS4755
TX10005119,2026-01-02 17:38:00,10.15.30.4,10.14.20.5,8333,8333,TCP,2026-01-02 17:37:41,70.637,151,53750,IN,NL,AS45609,AS1136
TX10006665,2026-01-02 17:51:00,10.14.30.8,10.15.30.4,8333,8333,TCP,2026-01-02 17:50:56,83.078,309,1700,IN,DE,AS4755,AS3320
TX10005485,2026-01-02 18:04:00,10.12.20.5,10.12.30.3,8333,8333,TCP,2026-01-02 18:03:56,14.432,208,40410,DE,NL,AS6805,AS1136
TX10002778,2026-01-02 18:25:00,10.13.30.2,10.13.30.4,8333,8333,TCP,2026-01-02 18:24:42,70.112,257,59464,IN,GB,AS4755,AS5089
TX10007702,2026-01-02 18:30:00,10.13.30.3,10.14.30.7,18333,8333,TCP,2026-01-02 18:29:58,30.472,34,23211,IN,NL,AS45609,AS1136
TX10007416,2026-01-02 18:41:00,10.14.10.3,10.11.10.7,18333,8333,TCP,2026-01-02 18:40:54,65.636,340,21682,GB,CA,AS5089,AS577
TX10002344,2026-01-02 18:53:00,10.11.20.1,10.12.10.3,18444,8333,TCP,2026-01-02 18:52:54,21.251,336,25811,GB,US,AS5089,AS15169
TX10005570,2026-01-02 20:03:00,10.15.20.8,10.11.20.2,18333,8333,TCP,2026-01-02 20:02:47,59.176,279,44031,IN,IN,AS55836,AS55836
TX10006654,2026-01-02 21:00:00,10.13.30.3,10.14.20.1,8333,8333,TCP,2026-01-02 20:59:42,4.669,221,15842,AU,DE,AS1221,AS3320
TX10000200,2026-01-02 21:51:00,10.12.30.5,10.12.20.5,8333,8333,TCP,2026-01-02 21:50:58,10.839,4558,385249,CA,IN,AS812,AS55836
TX10009247,2026-01-02 23:17:00,10.13.20.3,10.15.10.7,18333,8333,TCP,2026-01-02 23:16:46,30.094,126,10961,US,SG,AS15169,AS9506
TX10004185,2026-01-02 23:26:00,10.15.10.5,10.14.20.6,18444,8333,TCP,2026-01-02 23:25:45,32.157,203,31996,US,GB,AS15169,AS2856
TX10002250,2026-01-03 00:47:00,10.15.20.6,10.14.20.2,18444,8333,TCP,2026-01-03 00:46:48,87.956,94,42462,US,US,AS7922,AS15169
TX10005001,2026-01-03 00:50:00,10.11.10.5,10.11.30.3,18333,8333,TCP,2026-01-03 00:49:56,36.596,156,17993,SG,NL,AS9506,AS1136
TX10003044,2026-01-03 01:00:00,10.11.10.5,10.11.10.7,18444,8333,TCP,2026-01-03 01:00:00,86.124,304,29093,US,US,AS7018,AS15169
TX10001579,2026-01-03 01:02:00,10.13.10.6,10.12.20.8,18444,8333,TCP,2026-01-03 01:01:47,57.531,263,42637,GB,US,AS5089,AS7922
TX10005950,2026-01-03 02:27:00,10.11.30.5,10.15.20.1,18444,8333,TCP,2026-01-03 02:26:42,53.341,211,1625,SG,IN,AS9506,AS4755
TX10004473,2026-01-03 02:40:00,10.14.10.4,10.15.30.8,8333,8333,TCP,2026-01-03 02:39:53,24.939,321,19673,US,CA,AS15169,AS812
TX10007166,2026-01-03 03:31:00,10.14.10.2,10.15.10.3,8333,8333,TCP,2026-01-03 03:30:54,44.325,362,43573,CA,GB,AS577,AS2856
TX10004311,2026-01-03 03:40:00,10.15.10.5,10.15.30.5,8333,8333,TCP,2026-01-03 03:39:47,21.604,358,54333,IN,DE,AS45609,AS6805
TX10004966,2026-01-03 03:49:00,10.13.20.1,10.15.10.7,8333,8333,TCP,2026-01-03 03:48:55,36.502,141,13322,IN,SG,AS55836,AS9506
TX10008253,2026-01-03 04:28:00,10.11.10.4,10.12.10.8,18333,8333,TCP,2026-01-03 04:28:00,37.169,374,46808,AU,SG,AS1221,AS9506
TX10004571,2026-01-03 05:00:00,10.13.30.6,10.14.30.4,18333,8333,TCP,2026-01-03 04:59:48,64.672,358,22847,GB,NL,AS5089,AS6830
TX10007545,2026-01-03 05:04:00,10.15.30.1,10.14.20.4,18444,8333,TCP,2026-01-03 05:03:51,66.888,326,6046,GB,AU,AS2856,AS4804
TX10006988,2026-01-03 06:01:00,10.13.10.3,10.12.10.7,8333,8333,TCP,2026-01-03 06:00:44,40.981,196,41876,IN,DE,AS45609,AS3320
TX10004870,2026-01-03 06:26:00,10.12.30.6,10.13.30.4,8333,8333,TCP,2026-01-03 06:25:55,44.321,395,3799,DE,AU,AS3320,AS1221
TX10006002,2026-01-03 06:31:00,10.13.20.6,10.15.20.3,18333,8333,TCP,2026-01-03 06:30:50,17.03,222,59199,SG,CA,AS4657,AS577
TX10005553,2026-01-03 06:31:00,10.12.30.2,10.12.20.6,18444,8333,TCP,2026-01-03 06:30:49,56.798,288,8416,GB,US,AS2856,AS7018
TX10004464,2026-01-03 07:00:00,10.14.10.2,10.15.30.3,18333,8333,TCP,2026-01-03 06:59:44,2.659,53,17060,SG,NL,AS4657,AS6830
TX10002107,2026-01-03 07:28:00,10.15.10.2,10.14.20.3,18333,8333,TCP,2026-01-03 07:27:44,54.897,238,45189,DE,AU,AS3320,AS4804
TX10002162,2026-01-03 07:34:00,10.14.10.7,10.15.20.2,18333,8333,TCP,2026-01-03 07:33:54,89.794,186,2461,IN,US,AS45609,AS15169
TX10004985,2026-01-03 09:11:00,10.12.10.8,10.12.10.7,8333,8333,TCP,2026-01-03 09:11:00,57.569,213,42862,CA,IN,AS577,AS45609
TX10005347,2026-01-03 10:18:00,10.13.10.4,10.12.30.4,18333,8333,TCP,2026-01-03 10:17:55,17.847,277,37518,IN,DE,AS45609,AS3320
TX10006347,2026-01-03 10:36:00,10.14.20.1,10.13.10.2,18444,8333,TCP,2026-01-03 10:35:51,85.012,357,31942,IN,SG,AS45609,AS9506
TX10008263,2026-01-03 11:31:00,10.15.10.8,10.15.20.3,18333,8333,TCP,2026-01-03 11:30:57,59.295,263,5386,US,GB,AS15169,AS5089
TX10008737,2026-01-03 11:32:00,10.12.20.6,10.14.20.8,18333,8333,TCP,2026-01-03 11:31:53,76.306,34,57913,US,AU,AS15169,AS1221
TX10004818,2026-01-03 12:20:00,10.11.30.7,10.12.20.3,8333,8333,TCP,2026-01-03 12:19:59,37.418,294,39752,US,AU,AS15169,AS4804
TX10008742,2026-01-03 12:31:00,10.11.30.7,10.11.10.2,8333,8333,TCP,2026-01-03 12:30:42,75.566,71,36349,SG,AU,AS9506,AS4804
TX10004552,2026-01-03 12:50:00,10.13.20.4,10.15.20.7,18444,8333,TCP,2026-01-03 12:49:46,71.279,49,56045,IN,IN,AS45609,AS4755
TX10006371,2026-01-03 12:58:00,10.11.10.4,10.13.10.6,18444,8333,TCP,2026-01-03 12:57:56,49.112,361,12917,US,CA,AS15169,AS577
TX10008612,2026-01-03 13:01:00,10.14.30.4,10.13.20.1,18444,8333,TCP,2026-01-03 13:00:45,82.773,263,7107,US,CA,AS15169,AS577
TX10009349,2026-01-03 13:39:00,10.14.20.7,10.15.30.8,18333,8333,TCP,2026-01-03 13:38:51,48.505,221,8916,IN,AU,AS45609,AS4804
TX10002706,2026-01-03 13:51:00,10.12.30.1,10.13.10.6,18333,8333,TCP,2026-01-03 13:50:44,72.211,95,22790,DE,IN,AS3320,AS45609
TX10005090,2026-01-03 13:58:00,10.15.30.6,10.14.30.3,18444,8333,TCP,2026-01-03 13:57:57,23.49,197,4874,GB,US,AS5089,AS7922
TX10003447,2026-01-03 14:02:00,10.13.30.8,10.14.10.3,18444,8333,TCP,2026-01-03 14:01:58,57.616,303,14939,SG,US,AS4657,AS7018
TX10005616,2026-01-03 14:39:00,10.12.20.7,10.11.30.2,18444,8333,TCP,2026-01-03 14:39:00,54.994,35,33676,IN,SG,AS55836,AS9506
TX10008825,2026-01-03 14:59:00,10.14.30.4,10.15.20.4,18444,8333,TCP,2026-01-03 14:58:44,23.578,192,46418,IN,NL,AS4755,AS1136
TX10000906,2026-01-03 14:59:00,10.11.20.8,10.11.20.8,18333,8333,TCP,2026-01-03 14:58:55,6.493,2472,333741,US,SG,AS7922,AS9506
TX10003151,2026-01-03 15:34:00,10.15.20.4,10.12.10.2,18444,8333,TCP,2026-01-03 15:33:44,61.314,50,8136,NL,DE,AS6830,AS3320
TX10003316,2026-01-03 16:38:00,10.13.30.1,10.15.20.2,8333,8333,TCP,2026-01-03 16:37:43,47.1,264,58551,US,AU,AS15169,AS4804
TX10001431,2026-01-03 17:09:00,10.14.20.5,10.14.30.3,18444,8333,TCP,2026-01-03 17:08:59,48.838,132,45157,US,CA,AS15169,AS577
TX10007083,2026-01-03 17:33:00,10.13.10.7,10.12.20.4,18444,8333,TCP,2026-01-03 17:32:47,28.558,339,10776,GB,SG,AS5089,AS4657
TX10006173,2026-01-03 17:37:00,10.12.10.8,10.14.30.7,8333,8333,TCP,2026-01-03 17:36:46,54.358,306,44968,US,NL,AS7922,AS1136
TX10006725,2026-01-03 17:43:00,10.12.30.4,10.14.20.8,18333,8333,TCP,2026-01-03 17:42:53,18.544,142,1955,IN,IN,AS45609,AS55836
TX10006103,2026-01-03 18:59:00,10.12.30.3,10.11.20.1,8333,8333,TCP,2026-01-03 18:58:58,87.334,309,24876,US,SG,AS7018,AS9506
TX10002738,2026-01-03 19:58:00,10.11.10.6,10.14.30.1,18333,8333,TCP,2026-01-03 19:57:41,45.73,281,10620,DE,AU,AS3320,AS4804
TX10002449,2026-01-03 20:07:00,10.13.30.6,10.15.20.8,8333,8333,TCP,2026-01-03 20:06:49,81.823,89,8429,IN,GB,AS55836,AS2856
TX10007382,2026-01-03 20:23:00,10.13.10.7,10.11.10.8,8333,8333,TCP,2026-01-03 20:22:48,23.67,83,47203,DE,AU,AS6805,AS1221
TX10009590,2026-01-03 20:33:00,10.13.10.2,10.15.10.3,18333,8333,TCP,2026-01-03 20:32:46,20.925,141,13803,IN,IN,AS45609,AS45609
TX10002781,2026-01-03 21:30:00,10.11.20.6,10.14.10.4,18444,8333,TCP,2026-01-03 21:30:00,82.012,361,52110,IN,NL,AS45609,AS6830
TX10002262,2026-01-03 22:26:00,10.14.20.5,10.12.30.4,18333,8333,TCP,2026-01-03 22:25:56,61.968,250,56307,SG,AU,AS4657,AS4804
TX10008964,2026-01-03 23:00:00,10.12.30.2,10.12.30.3,8333,8333,TCP,2026-01-03 22:59:43,89.124,94,29157,CA,US,AS577,AS7018
TX10003420,2026-01-03 23:14:00,10.12.30.1,10.13.10.1,8333,8333,TCP,2026-01-03 23:13:47,23.391,175,1048,IN,IN,AS45609,AS45609
TX10003162,2026-01-03 23:14:00,10.14.20.3,10.11.10.8,18444,8333,TCP,2026-01-03 23:13:47,48.983,69,6424,GB,US,AS5089,AS7922
TX10004840,2026-01-03 23:16:00,10.12.30.1,10.11.20.7,8333,8333,TCP,2026-01-03 23:15:42,60.765,136,5750,GB,US,AS2856,AS7018
TX10009717,2026-01-03 23:30:00,10.11.20.8,10.15.10.2,18333,8333,TCP,2026-01-03 23:29:45,34.469,304,17774,IN,SG,AS45609,AS9506
TX10008806,2026-01-04 00:02:00,10.15.30.4,10.11.20.1,18333,8333,TCP,2026-01-04 00:01:49,75.42,377,41761,GB,NL,AS5089,AS1136
TX10009549,2026-01-04 00:38:00,10.13.20.3,10.14.30.8,18444,8333,TCP,2026-01-04 00:37:55,11.792,394,20882,NL,SG,AS1136,AS4657
TX10008322,2026-01-04 00:59:00,10.11.30.6,10.12.20.3,18444,8333,TCP,2026-01-04 00:58:57,48.431,229,20042,CA,IN,AS812,AS55836
TX10005711,2026-01-04 01:25:00,10.15.20.3,10.14.20.3,8333,8333,TCP,2026-01-04 01:24:59,23.863,188,39665,GB,AU,AS2856,AS4804
TX10003605,2026-01-04 01:27:00,10.15.20.8,10.11.20.5,8333,8333,TCP,2026-01-04 01:26:56,15.706,380,8867,IN,IN,AS55836,AS45609
TX10000235,2026-01-04 01:51:00,10.14.30.1,10.13.10.3,18444,8333,TCP,2026-01-04 01:50:50,8.823,1230,190260,GB,NL,AS2856,AS6830
TX10003799,2026-01-04 02:18:00,10.12.10.2,10.12.30.7,8333,8333,TCP,2026-01-04 02:18:00,45.311,232,57198,IN,NL,AS4755,AS1136
TX10001843,2026-01-04 02:32:00,10.15.20.8,10.11.10.7,18333,8333,TCP,2026-01-04 02:31:43,66.216,370,46742,IN,AU,AS45609,AS1221
TX10009352,2026-01-04 04:50:00,10.15.20.5,10.15.20.1,8333,8333,TCP,2026-01-04 04:49:45,16.168,286,46324,GB,DE,AS5089,AS6805
TX10007406,2026-01-04 05:05:00,10.14.30.5,10.13.30.5,18444,8333,TCP,2026-01-04 05:04:59,58.234,337,25189,IN,CA,AS4755,AS812
TX10001519,2026-01-04 05:08:00,10.11.10.5,10.11.20.7,18333,8333,TCP,2026-01-04 05:07:56,60.17,390,57057,US,SG,AS7922,AS9506
TX10006321,2026-01-04 05:51:00,10.12.20.7,10.12.30.5,18333,8333,TCP,2026-01-04 05:50:53,84.951,203,3511,GB,US,AS5089,AS7018
TX10001141,2026-01-04 06:00:00,10.13.30.1,10.12.20.5,18333,8333,TCP,2026-01-04 05:59:56,36.377,187,22944,DE,NL,AS3320,AS6830
TX10006117,2026-01-04 06:19:00,10.12.30.8,10.15.30.5,18333,8333,TCP,2026-01-04 06:18:42,18.112,226,11287,US,GB,AS15169,AS5089
TX10000790,2026-01-04 06:32:00,10.14.30.1,10.11.10.4,18333,8333,TCP,2026-01-04 06:32:00,4.517,3889,452208,IN,AU,AS4755,AS1221
TX10005722,2026-01-04 06:38:00,10.12.10.8,10.15.30.1,8333,8333,TCP,2026-01-04 06:37:46,46.206,125,29463,US,NL,AS7018,AS6830
