txid,timestamp,block_height,time_step,src_ip,dst_ip,src_port,dst_port,protocol,network_timestamp,connection_duration_sec,packet_count,bytes_transferred,src_country,dst_country,src_asn,dst_asn,input_addresses,output_addresses,input_amounts,output_amounts,total_input_amount_btc,total_output_amount_btc,fee_btc,num_inputs,num_outputs,script_type,source_wallet,destination_wallet,transaction_frequency_24h,avg_time_gap_min,wallet_degree,unique_ip_count,country_count,asn_count,ground_truth,scenario
TX10000355,2026-01-01 17:26:00,850056,1,10.13.20.7,10.11.30.4,18444,8333,TCP,2026-01-01 17:25:58,4.917,3219,324478,NL,IN,AS6830,AS4755,W000729|W001371|W001340|W000949|W002294,W001135|W001762|W002485|W001024|W000453|W001795,0.430530|0.408222|0.391487|0.688872|0.502080,0.304540|0.081044|0.555663|0.360211|1.071107|0.002483,2.421192,2.375048,0.046143,5,6,P2WSH,W000729,W001135,159,1.866,63,12,6,7,synthetic_anomalous,cross_border_burst
TX10005645,2026-01-01 17:53:00,850059,1,10.13.30.1,10.15.20.3,8333,8333,TCP,2026-01-01 17:52:57,80.064,319,55872,DE,SG,AS3320,AS9506,W000422|W001057|W000486,W001080|W002065|W000218|W002049,0.166447|0.219869|0.301969,0.020909|0.581895|0.075639|0.006487,0.688285,0.684931,0.003354,3,4,P2PKH,W000422,W001080,10,339.23,13,4,2,2,synthetic_normal,normal
TX10009858,2026-01-01 18:13:00,850061,1,10.13.10.6,10.14.10.4,18333,8333,TCP,2026-01-01 18:12:59,77.361,391,51285,NL,GB,AS1136,AS5089,W000168|W000268|W001458,W000389|W001823|W000535,0.165360|0.007148|0.036907,0.023541|0.001543|0.182749,0.209414,0.207832,0.001582,3,3,P2SH,W000168,W000389,12,348.096,10,4,2,1,synthetic_normal,normal
TX10009946,2026-01-01 18:26:00,850062,1,10.13.10.8,10.13.30.5,8333,8333,TCP,2026-01-01 18:25:48,36.0,112,23596,IN,IN,AS45609,AS4755,W000718,W002228|W001755|W001875,0.898313,0.058667|0.600370|0.237061,0.898313,0.896098,0.002215,1,3,P2PKH,W000718,W002228,15,215.595,16,4,2,2,synthetic_normal,normal
TX10005771,2026-01-01 19:06:00,850066,1,10.12.20.4,10.13.10.5,8333,8333,TCP,2026-01-01 19:05:44,37.973,358,56173,GB,US,AS5089,AS15169,W001986,W001888|W001735|W000785,0.142964,0.020400|0.053827|0.066715,0.142964,0.140942,0.002022,1,3,P2SH,W001986,W001888,7,85.409,5,3,1,2,synthetic_normal,normal
TX10008923,2026-01-01 19:26:00,850068,1,10.12.10.7,10.11.10.6,18444,8333,TCP,2026-01-01 19:25:47,67.607,217,4494,US,US,AS7018,AS7018,W000125,W001773|W001566|W000035,0.535066,0.235001|0.098824|0.199806,0.535066,0.533631,0.001434,1,3,P2SH,W000125,W001773,9,265.503,18,1,1,2,synthetic_normal,normal
TX10008585,2026-01-01 20:06:00,850072,1,10.14.10.7,10.14.20.6,18333,8333,TCP,2026-01-01 20:05:45,63.797,260,48816,SG,US,AS4657,AS7018,W001387|W000172,W001097|W002359|W000654|W000783,0.042326|0.062341,0.020203|0.051530|0.011671|0.018143,0.104667,0.101547,0.00312,2,4,P2PKH,W001387,W001097,5,71.891,8,4,2,2,synthetic_normal,normal
TX10001861,2026-01-01 20:12:00,850073,1,10.15.10.6,10.12.10.8,18333,8333,TCP,2026-01-01 20:11:47,15.079,214,33545,GB,AU,AS5089,AS4804,W000548,W000422|W001179,0.255864,0.170907|0.084794,0.255864,0.255701,0.000163,1,2,P2PKH,W000548,W000422,13,91.878,5,4,2,1,synthetic_normal,normal
TX10007087,2026-01-01 20:49:00,850076,1,10.12.30.6,10.14.30.7,18333,8333,TCP,2026-01-01 20:48:58,40.338,383,43058,IN,US,AS55836,AS15169,W001643|W001426|W001188,W000613|W001322|W002360,0.056947|0.026411|0.092807,0.028028|0.018802|0.127750,0.176165,0.17458,0.001585,3,3,P2SH,W001643,W000613,4,236.115,7,1,1,2,synthetic_normal,normal
TX10008722,2026-01-01 21:13:00,850079,1,10.13.10.1,10.11.10.6,18333,8333,TCP,2026-01-01 21:12:50,22.322,81,31711,GB,AU,AS5089,AS1221,W001304,W000239|W000631,0.258662,0.196986|0.059663,0.258662,0.256649,0.002013,1,2,P2PKH,W001304,W000239,13,305.537,13,2,1,2,synthetic_normal,normal
TX10000125,2026-01-01 21:52:00,850083,1,10.14.30.1,10.13.20.2,18333,8333,TCP,2026-01-01 21:51:46,6.539,2209,577955,IN,US,AS45609,AS7922,W000046|W001266|W001148|W000629|W000528,W000200|W000776|W002247|W001520|W000465|W001308,1.147828|0.015065|1.828928|0.260099|0.028007,0.609940|0.721514|0.205212|0.036753|0.513640|1.170836,3.279926,3.257894,0.022032,5,6,P2PKH,W000046,W000200,151,2.242,256,49,3,4,synthetic_anomalous,high_connectivity
TX10007563,2026-01-01 22:32:00,850087,1,10.13.20.2,10.15.20.8,8333,8333,TCP,2026-01-01 22:31:41,63.617,307,20339,IN,US,AS45609,AS7018,W000387|W001508,W001347|W000831|W002468,0.345208|0.377014,0.185725|0.402735|0.129890,0.722221,0.71835,0.003871,2,3,P2PKH,W000387,W001347,15,187.184,13,3,1,2,synthetic_normal,normal
TX10002057,2026-01-01 22:34:00,850087,1,10.12.10.8,10.14.20.2,18444,8333,TCP,2026-01-01 22:33:58,40.865,28,1252,US,IN,AS7922,AS45609,W001267,W001290,0.333414,0.331363,0.333414,0.331363,0.002052,1,1,P2SH,W001267,W001290,4,146.201,12,2,2,2,synthetic_normal,normal
TX10008449,2026-01-01 22:59:00,850089,1,10.12.30.6,10.15.20.8,18444,8333,TCP,2026-01-01 22:58:44,83.016,195,50780,DE,SG,AS6805,AS9506,W000653,W000164|W002239,0.618538,0.418325|0.198388,0.618538,0.616714,0.001825,1,2,P2PKH,W000653,W000164,2,195.594,16,3,1,2,synthetic_normal,normal
TX10002003,2026-01-01 23:27:00,850092,1,10.15.20.5,10.15.20.2,18444,8333,TCP,2026-01-01 23:26:57,49.249,75,20274,IN,CA,AS45609,AS577,W002214,W001724,3.060398,3.057468,3.060398,3.057468,0.00293,1,1,P2WSH,W002214,W001724,4,176.591,15,2,1,2,synthetic_normal,normal
TX10006958,2026-01-01 23:32:00,850093,1,10.12.30.3,10.13.30.3,8333,8333,TCP,2026-01-01 23:32:00,37.916,279,38957,US,IN,AS15169,AS55836,W000824|W002425|W001304,W000375|W001393|W001366|W001871,0.109528|0.109735|0.580400,0.127414|0.130233|0.370799|0.168196,0.799664,0.796642,0.003021,3,4,P2SH,W000824,W000375,10,50.513,15,3,1,2,synthetic_normal,normal
TX10005914,2026-01-01 23:35:00,850093,1,10.15.30.5,10.12.20.8,8333,8333,TCP,2026-01-01 23:34:55,38.268,114,7526,AU,US,AS4804,AS7018,W000208,W001498,0.410276,0.407893,0.410276,0.407893,0.002383,1,1,P2PKH,W000208,W001498,6,302.666,10,3,1,2,synthetic_normal,normal
TX10009901,2026-01-01 23:48:00,850094,1,10.11.20.1,10.12.10.1,8333,8333,TCP,2026-01-01 23:48:00,75.474,237,6647,AU,GB,AS1221,AS2856,W000487,W002415,0.066666,0.065369,0.066666,0.065369,0.001296,1,1,P2WPKH,W000487,W002415,11,303.201,17,2,2,2,synthetic_normal,normal
TX10000076,2026-01-01 23:48:00,850094,1,10.12.10.3,10.15.30.5,8333,8333,TCP,2026-01-01 23:47:54,4.236,4589,215113,GB,SG,AS2856,AS4657,W000573|W000574|W000614|W001225|W001524|W000756|W002314,W001013|W001595|W002077|W002006|W000122|W002286|W000502|W001004|W001684,0.026095|0.057594|0.029907|0.022300|0.098130|0.154239|0.009053,0.023434|0.038512|0.011603|0.044137|0.057633|0.037314|0.055631|0.038281|0.040257,0.397318,0.346804,0.050514,7,9,P2PKH,W000573,W001013,136,1.384,40,8,3,4,synthetic_anomalous,high_frequency
TX10004810,2026-01-01 23:48:00,850094,1,10.11.30.5,10.12.30.2,8333,8333,TCP,2026-01-01 23:47:47,40.289,307,28835,GB,CA,AS2856,AS577,W001926|W001907|W002309,W001629|W001222|W001593,0.048448|0.061047|0.445956,0.208978|0.170582|0.172365,0.555451,0.551925,0.003526,3,3,P2PKH,W001926,W001629,3,264.645,15,4,2,1,synthetic_normal,normal
TX10004681,2026-01-02 01:16:00,850103,1,10.14.30.6,10.15.30.6,18444,8333,TCP,2026-01-02 01:15:44,42.741,341,25861,IN,SG,AS4755,AS9506,W000647,W002321|W000642|W002313,0.349467,0.269352|0.018412|0.058193,0.349467,0.345958,0.003509,1,3,P2PKH,W000647,W002321,12,219.779,18,1,2,1,synthetic_normal,normal
TX10002579,2026-01-02 01:30:00,850105,1,10.13.10.3,10.12.30.6,8333,8333,TCP,2026-01-02 01:29:49,37.539,178,19192,IN,NL,AS55836,AS1136,W000074,W001544|W001007|W001996|W002135,0.832532,0.302971|0.490851|0.027962|0.009925,0.832532,0.831708,0.000824,1,4,P2WSH,W000074,W001544,12,359.113,18,3,2,1,synthetic_normal,normal
TX10000652,2026-01-02 01:31:00,850105,1,10.15.10.2,10.14.20.1,8333,8333,TCP,2026-01-02 01:30:58,8.794,3336,196335,AU,US,AS4804,AS7922,W000580|W000192|W002067,W001700|W001868,10.946147|0.056781|0.209843,5.034704|6.112491,11.21277,11.147195,0.065575,3,2,P2SH,W000580,W001700,187,0.909,91,36,3,8,synthetic_anomalous,high_frequency
TX10005568,2026-01-02 01:38:00,850105,1,10.14.30.1,10.11.20.4,18333,8333,TCP,2026-01-02 01:37:52,43.685,221,49876,IN,NL,AS45609,AS6830,W001696,W000308|W000083,0.233216,0.023982|0.206938,0.233216,0.23092,0.002296,1,2,P2SH,W001696,W000308,1,299.983,1,4,2,2,synthetic_normal,normal
TX10008495,2026-01-02 01:53:00,850107,1,10.14.20.5,10.14.20.7,18444,8333,TCP,2026-01-02 01:52:51,58.879,258,17298,IN,SG,AS55836,AS9506,W000195,W000609|W001473|W002286|W000866,0.244250,0.101028|0.005230|0.012550|0.122914,0.24425,0.241722,0.002528,1,4,P2PKH,W000195,W000609,4,150.993,19,3,2,1,synthetic_normal,normal
TX10002551,2026-01-02 02:04:00,850108,1,10.13.30.7,10.14.20.6,8333,8333,TCP,2026-01-02 02:03:53,17.462,105,41298,US,US,AS15169,AS15169,W001302|W002207,W000278|W000163|W002491,0.149091|0.133692,0.115486|0.076625|0.087092,0.282783,0.279203,0.00358,2,3,P2WPKH,W001302,W000278,6,307.359,19,4,1,2,synthetic_normal,normal
TX10006554,2026-01-02 02:22:00,850110,1,10.14.30.5,10.12.30.8,8333,8333,TCP,2026-01-02 02:21:47,26.088,161,42305,IN,DE,AS45609,AS6805,W001030|W002165|W001638,W001231|W001921|W001219|W000923,0.005513|0.128910|0.062073,0.030346|0.048467|0.061852|0.052056,0.196496,0.192721,0.003775,3,4,P2WPKH,W001030,W001231,10,59.887,1,3,1,1,synthetic_normal,normal
TX10005100,2026-01-02 02:43:00,850112,1,10.15.30.6,10.12.30.4,18444,8333,TCP,2026-01-02 02:42:57,44.472,114,35292,IN,AU,AS4755,AS1221,W000662|W001586|W002250,W000699|W001068,0.295655|0.187507|0.121083,0.087430|0.514033,0.604245,0.601462,0.002783,3,2,P2PKH,W000662,W000699,8,124.845,15,3,1,1,synthetic_normal,normal
TX10000774,2026-01-02 02:47:00,850112,1,10.11.10.2,10.11.10.7,18333,8333,TCP,2026-01-02 02:46:56,11.826,611,794002,CA,SG,AS577,AS4657,W000011|W002154|W000131|W001245|W000391|W001750|W001042,W000038|W001135|W000017,0.688765|0.943893|1.059534|1.960333|0.581272|0.410074|1.986582,0.622609|3.678065|3.290379,7.630451,7.591054,0.039398,7,3,P2WSH,W000011,W000038,147,1.28,92,2,4,5,synthetic_anomalous,ip_wallet_reuse
TX10003369,2026-01-02 03:16:00,850115,1,10.12.10.6,10.12.30.1,18444,8333,TCP,2026-01-02 03:15:53,55.082,327,39656,NL,IN,AS1136,AS45609,W001104,W001388|W000567|W002006|W001639,0.261680,0.095110|0.114847|0.022877|0.027705,0.26168,0.260539,0.001141,1,4,P2WSH,W001104,W001388,5,316.197,9,3,2,1,synthetic_normal,normal
TX10009160,2026-01-02 03:43:00,850118,1,10.14.30.4,10.15.20.1,18444,8333,TCP,2026-01-02 03:42:44,63.66,258,32515,NL,NL,AS6830,AS1136,W000416|W002464|W000805,W000301,0.107591|0.037329|0.065300,0.208340,0.21022,0.20834,0.00188,3,1,P2PKH,W000416,W000301,11,313.513,13,3,2,2,synthetic_normal,normal
TX10008945,2026-01-02 03:54:00,850119,1,10.13.20.6,10.11.30.8,8333,8333,TCP,2026-01-02 03:53:59,58.44,320,33534,IN,DE,AS45609,AS6805,W001866|W002111,W001519|W000921,0.477457|0.177933,0.269083|0.385565,0.65539,0.654647,0.000743,2,2,P2WPKH,W001866,W001519,13,106.537,9,3,2,1,synthetic_normal,normal
TX10003657,2026-01-02 03:54:00,850119,1,10.11.20.2,10.15.30.7,18333,8333,TCP,2026-01-02 03:53:45,70.583,145,27511,GB,AU,AS2856,AS4804,W000990|W001887|W000263,W002171|W002041|W001325|W000595,0.310599|0.023164|0.479171,0.141675|0.419877|0.017912|0.232091,0.812933,0.811555,0.001379,3,4,P2SH,W000990,W002171,12,215.648,3,3,1,2,synthetic_normal,normal
TX10003640,2026-01-02 04:01:00,850120,1,10.11.30.1,10.13.20.8,18444,8333,TCP,2026-01-02 04:00:55,34.597,197,23944,DE,IN,AS6805,AS4755,W000111,W002426,0.514532,0.511521,0.514532,0.511521,0.003012,1,1,P2WPKH,W000111,W002426,4,296.381,11,1,1,1,synthetic_normal,normal
TX10000191,2026-01-02 04:47:00,850124,1,10.13.10.7,10.13.30.6,18333,8333,TCP,2026-01-02 04:46:41,2.897,3620,760971,DE,IN,AS3320,AS55836,W000009|W001993|W001427|W001105|W002005,W001528|W001967|W002209|W002248,0.200797|1.231431|1.726803|0.799401|0.303117,0.046000|2.223217|1.897640|0.029693,4.261549,4.19655,0.064999,5,4,P2SH,W000009,W001528,61,1.67,145,43,4,7,synthetic_anomalous,layered_transfer
TX10002289,2026-01-02 04:55:00,850125,1,10.15.30.2,10.13.30.3,8333,8333,TCP,2026-01-02 04:54:58,40.375,90,34558,US,US,AS7018,AS15169,W000091|W002445,W001172,0.072396|0.216247,0.287539,0.288643,0.287539,0.001104,2,1,P2WSH,W000091,W001172,2,179.39,4,2,2,2,synthetic_normal,normal
TX10008626,2026-01-02 05:04:00,850126,1,10.15.20.4,10.14.20.6,18333,8333,TCP,2026-01-02 05:03:47,27.719,44,54958,IN,GB,AS45609,AS2856,W001934,W002170|W000317,1.537428,1.366975|0.166656,1.537428,1.533631,0.003797,1,2,P2WPKH,W001934,W002170,15,337.655,12,3,1,1,synthetic_normal,normal
TX10003531,2026-01-02 05:14:00,850127,1,10.11.30.1,10.11.30.1,18333,8333,TCP,2026-01-02 05:13:47,69.34,114,39735,CA,DE,AS577,AS3320,W001084|W002409|W000768,W002339,0.139682|0.662103|0.066147,0.866653,0.867932,0.866653,0.001278,3,1,P2WPKH,W001084,W002339,2,40.95,7,3,1,2,synthetic_normal,normal
TX10009520,2026-01-02 06:21:00,850134,1,10.12.10.2,10.11.30.5,18444,8333,TCP,2026-01-02 06:20:41,61.382,294,15525,US,SG,AS15169,AS9506,W000585|W001902|W000134,W001752|W000403|W001374,0.058620|0.021243|0.178591,0.141605|0.074458|0.039791,0.258454,0.255855,0.002599,3,3,P2WSH,W000585,W001752,4,145.442,18,1,1,2,synthetic_normal,normal
TX10000922,2026-01-02 06:47:00,850136,1,10.13.20.5,10.14.20.4,8333,8333,TCP,2026-01-02 06:46:41,8.233,1981,463816,SG,NL,AS9506,AS1136,W000108|W000208|W002227|W002481|W000769|W000069|W000625|W002283|W002085|W000859|W002117|W000135|W002376|W000787,W001007|W000272|W001390,0.069221|0.017726|0.052439|0.067943|0.240535|0.121737|0.618564|0.040016|0.023603|0.193120|0.118599|0.110620|0.345054|0.203953,0.878496|1.066902|0.266781,2.223132,2.212179,0.010953,14,3,P2PKH,W000016,W001007,164,0.919,153,35,5,3,synthetic_anomalous,fan_in
TX10005392,2026-01-02 08:05:00,850144,2,10.12.10.3,10.12.10.3,18333,8333,TCP,2026-01-02 08:04:41,85.721,358,53919,NL,DE,AS6830,AS3320,W001659|W000048,W002364|W001999,0.155529|0.319979,0.012207|0.459947,0.475509,0.472154,0.003355,2,2,P2WSH,W001659,W002364,3,206.586,7,4,2,1,synthetic_normal,normal
TX10001688,2026-01-02 08:14:00,850145,2,10.12.20.8,10.13.30.4,8333,8333,TCP,2026-01-02 08:13:52,61.654,320,42269,IN,IN,AS4755,AS45609,W000847,W000056,1.122987,1.119198,1.122987,1.119198,0.003788,1,1,P2PKH,W000847,W000056,1,13.94,15,3,1,1,synthetic_normal,normal
