src_ip,dst_ip,txid,timestamp,source_wallet,destination_wallet,src_country,dst_country,src_asn,dst_asn
10.15.10.2,10.14.20.1,TX10000652,2026-01-02 01:31:00,W000580,W001700,AU,US,AS4804,AS7922
10.14.30.1,10.11.20.4,TX10005568,2026-01-02 01:38:00,W001696,W000308,IN,NL,AS45609,AS6830
10.14.20.5,10.14.20.7,TX10008495,2026-01-02 01:53:00,W000195,W000609,IN,SG,AS55836,AS9506
10.13.30.7,10.14.20.6,TX10002551,2026-01-02 02:04:00,W001302,W000278,US,US,AS15169,AS15169
10.14.30.5,10.12.30.8,TX10006554,2026-01-02 02:22:00,W001030,W001231,IN,DE,AS45609,AS6805
10.15.30.6,10.12.30.4,TX10005100,2026-01-02 02:43:00,W000662,W000699,IN,AU,AS4755,AS1221
10.11.10.2,10.11.10.7,TX10000774,2026-01-02 02:47:00,W000011,W000038,CA,SG,AS577,AS4657
10.12.10.6,10.12.30.1,TX10003369,2026-01-02 03:16:00,W001104,W001388,NL,IN,AS1136,AS45609
10.14.30.4,10.15.20.1,TX10009160,2026-01-02 03:43:00,W000416,W000301,NL,NL,AS6830,AS1136
10.13.20.6,10.11.30.8,TX10008945,2026-01-02 03:54:00,W001866,W001519,IN,DE,AS45609,AS6805
10.11.20.2,10.15.30.7,TX10003657,2026-01-02 03:54:00,W000990,W002171,GB,AU,AS2856,AS4804
10.11.30.1,10.13.20.8,TX10003640,2026-01-02 04:01:00,W000111,W002426,DE,IN,AS6805,AS4755
10.13.10.7,10.13.30.6,TX10000191,2026-01-02 04:47:00,W000009,W001528,DE,IN,AS3320,AS55836
10.15.30.2,10.13.30.3,TX10002289,2026-01-02 04:55:00,W000091,W001172,US,US,AS7018,AS15169
10.15.20.4,10.14.20.6,TX10008626,2026-01-02 05:04:00,W001934,W002170,IN,GB,AS45609,AS2856
10.11.30.1,10.11.30.1,TX10003531,2026-01-02 05:14:00,W001084,W002339,CA,DE,AS577,AS3320
10.12.10.2,10.11.30.5,TX10009520,2026-01-02 06:21:00,W000585,W001752,US,SG,AS15169,AS9506
10.13.20.5,10.14.20.4,TX10000922,2026-01-02 06:47:00,W000016,W001007,SG,NL,AS9506,AS1136
10.12.10.3,10.12.10.3,TX10005392,2026-01-02 08:05:00,W001659,W002364,NL,DE,AS6830,AS3320
10.12.20.8,10.13.30.4,TX10001688,2026-01-02 08:14:00,W000847,W000056,IN,IN,AS4755,AS45609
10.15.30.6,10.12.20.2,TX10001146,2026-01-02 08:52:00,W000682,W000190,IN,CA,AS55836,AS812
10.13.30.3,10.12.10.6,TX10001886,2026-01-02 09:17:00,W000402,W001199,US,US,AS7922,AS7922
10.13.30.4,10.14.20.1,TX10007161,2026-01-02 09:42:00,W002146,W001827,US,GB,AS7922,AS5089
10.15.10.1,10.13.10.7,TX10002033,2026-01-02 10:02:00,W002116,W000806,US,AU,AS7922,AS1221
10.14.30.3,10.14.20.8,TX10006302,2026-01-02 10:10:00,W001379,W000758,AU,US,AS4804,AS7922
10.14.10.4,10.12.10.4,TX10005355,2026-01-02 10:19:00,W000505,W000547,IN,SG,AS4755,AS4657
10.13.30.6,10.13.20.8,TX10002635,2026-01-02 10:33:00,W001289,W001083,SG,SG,AS9506,AS4657
10.15.10.8,10.15.20.6,TX10008845,2026-01-02 11:49:00,W002437,W002310,GB,IN,AS5089,AS55836
10.14.10.4,10.14.30.6,TX10000049,2026-01-02 13:17:00,W000015,W000246,GB,CA,AS2856,AS577
10.13.20.5,10.11.10.4,TX10001900,2026-01-02 13:36:00,W001471,W002467,IN,SG,AS55836,AS9506
10.13.10.1,10.11.10.2,TX10001408,2026-01-02 13:40:00,W002028,W000410,IN,DE,AS45609,AS3320
10.13.30.7,10.15.30.4,TX10002249,2026-01-02 15:20:00,W001516,W000789,US,DE,AS15169,AS3320
10.14.10.5,10.12.10.4,TX10005154,2026-01-02 15:28:00,W000036,W000528,IN,SG,AS55836,AS9506
10.13.20.1,10.14.10.3,TX10006055,2026-01-02 15:45:00,W000719,W002377,DE,CA,AS6805,AS812
10.13.10.8,10.13.30.4,TX10005747,2026-01-02 16:30:00,W001437,W000437,SG,CA,AS9506,AS577
10.14.30.5,10.11.20.4,TX10007375,2026-01-02 17:05:00,W001366,W000146,DE,AU,AS3320,AS4804
10.11.30.5,10.11.10.5,TX10008481,2026-01-02 17:35:00,W001939,W000931,DE,IN,AS3320,AS4755
10.15.30.4,10.14.20.5,TX10005119,2026-01-02 17:38:00,W001713,W000894,IN,NL,AS45609,AS1136
10.14.30.8,10.15.30.4,TX10006665,2026-01-02 17:51:00,W000916,W002491,IN,DE,AS4755,AS3320
10.12.20.5,10.12.30.3,TX10005485,2026-01-02 18:04:00,W000798,W000881,DE,NL,AS6805,AS1136
10.13.30.2,10.13.30.4,TX10002778,2026-01-02 18:25:00,W000303,W001660,IN,GB,AS4755,AS5089
10.13.30.3,10.14.30.7,TX10007702,2026-01-02 18:30:00,W000978,W001735,IN,NL,AS45609,AS1136
10.14.10.3,10.11.10.7,TX10007416,2026-01-02 18:41:00,W001784,W000269,GB,CA,AS5089,AS577
10.11.20.1,10.12.10.3,TX10002344,2026-01-02 18:53:00,W001403,W000974,GB,US,AS5089,AS15169
10.15.20.8,10.11.20.2,TX10005570,2026-01-02 20:03:00,W000281,W000850,IN,IN,AS55836,AS55836
10.13.30.3,10.14.20.1,TX10006654,2026-01-02 21:00:00,W000849,W001683,AU,DE,AS1221,AS3320
10.12.30.5,10.12.20.5,TX10000200,2026-01-02 21:51:00,W001942,W000747,CA,IN,AS812,AS55836
10.13.20.3,10.15.10.7,TX10009247,2026-01-02 23:17:00,W002263,W001901,US,SG,AS15169,AS9506
10.15.10.5,10.14.20.6,TX10004185,2026-01-02 23:26:00,W001849,W000151,US,GB,AS15169,AS2856
10.15.20.6,10.14.20.2,TX10002250,2026-01-03 00:47:00,W000331,W001231,US,US,AS7922,AS15169
10.11.10.5,10.11.30.3,TX10005001,2026-01-03 00:50:00,W001891,W001442,SG,NL,AS9506,AS1136
10.11.10.5,10.11.10.7,TX10003044,2026-01-03 01:00:00,W001715,W001802,US,US,AS7018,AS15169
10.13.10.6,10.12.20.8,TX10001579,2026-01-03 01:02:00,W002111,W001111,GB,US,AS5089,AS7922
10.11.30.5,10.15.20.1,TX10005950,2026-01-03 02:27:00,W001096,W002229,SG,IN,AS9506,AS4755
10.14.10.4,10.15.30.8,TX10004473,2026-01-03 02:40:00,W002464,W001645,US,CA,AS15169,AS812
10.14.10.2,10.15.10.3,TX10007166,2026-01-03 03:31:00,W001799,W000694,CA,GB,AS577,AS2856
10.15.10.5,10.15.30.5,TX10004311,2026-01-03 03:40:00,W001343,W000130,IN,DE,AS45609,AS6805
10.13.20.1,10.15.10.7,TX10004966,2026-01-03 03:49:00,W001745,W001928,IN,SG,AS55836,AS9506
10.11.10.4,10.12.10.8,TX10008253,2026-01-03 04:28:00,W000287,W002441,AU,SG,AS1221,AS9506
10.13.30.6,10.14.30.4,TX10004571,2026-01-03 05:00:00,W001007,W001271,GB,NL,AS5089,AS6830
10.15.30.1,10.14.20.4,TX10007545,2026-01-03 05:04:00,W001156,W000262,GB,AU,AS2856,AS4804
10.13.10.3,10.12.10.7,TX10006988,2026-01-03 06:01:00,W000537,W001845,IN,DE,AS45609,AS3320
10.12.30.6,10.13.30.4,TX10004870,2026-01-03 06:26:00,W001834,W000770,DE,AU,AS3320,AS1221
10.13.20.6,10.15.20.3,TX10006002,2026-01-03 06:31:00,W000218,W000843,SG,CA,AS4657,AS577
10.12.30.2,10.12.20.6,TX10005553,2026-01-03 06:31:00,W000371,W002443,GB,US,AS2856,AS7018
10.14.10.2,10.15.30.3,TX10004464,2026-01-03 07:00:00,W001023,W000180,SG,NL,AS4657,AS6830
10.15.10.2,10.14.20.3,TX10002107,2026-01-03 07:28:00,W000140,W002158,DE,AU,AS3320,AS4804
10.14.10.7,10.15.20.2,TX10002162,2026-01-03 07:34:00,W000613,W001471,IN,US,AS45609,AS15169
10.12.10.8,10.12.10.7,TX10004985,2026-01-03 09:11:00,W001776,W001135,CA,IN,AS577,AS45609
10.13.10.4,10.12.30.4,TX10005347,2026-01-03 10:18:00,W001635,W000457,IN,DE,AS45609,AS3320
10.14.20.1,10.13.10.2,TX10006347,2026-01-03 10:36:00,W001255,W002014,IN,SG,AS45609,AS9506
10.15.10.8,10.15.20.3,TX10008263,2026-01-03 11:31:00,W000947,W000930,US,GB,AS15169,AS5089
10.12.20.6,10.14.20.8,TX10008737,2026-01-03 11:32:00,W000976,W000439,US,AU,AS15169,AS1221
10.11.30.7,10.12.20.3,TX10004818,2026-01-03 12:20:00,W001615,W001147,US,AU,AS15169,AS4804
10.11.30.7,10.11.10.2,TX10008742,2026-01-03 12:31:00,W000718,W001417,SG,AU,AS9506,AS4804
10.13.20.4,10.15.20.7,TX10004552,2026-01-03 12:50:00,W000528,W000700,IN,IN,AS45609,AS4755
10.11.10.4,10.13.10.6,TX10006371,2026-01-03 12:58:00,W001993,W002132,US,CA,AS15169,AS577
10.14.30.4,10.13.20.1,TX10008612,2026-01-03 13:01:00,W001033,W001890,US,CA,AS15169,AS577
10.14.20.7,10.15.30.8,TX10009349,2026-01-03 13:39:00,W000993,W001866,IN,AU,AS45609,AS4804
10.12.30.1,10.13.10.6,TX10002706,2026-01-03 13:51:00,W000884,W000848,DE,IN,AS3320,AS45609
10.15.30.6,10.14.30.3,TX10005090,2026-01-03 13:58:00,W001240,W001035,GB,US,AS5089,AS7922
10.13.30.8,10.14.10.3,TX10003447,2026-01-03 14:02:00,W002303,W000858,SG,US,AS4657,AS7018
10.12.20.7,10.11.30.2,TX10005616,2026-01-03 14:39:00,W001158,W002494,IN,SG,AS55836,AS9506
10.14.30.4,10.15.20.4,TX10008825,2026-01-03 14:59:00,W000798,W000322,IN,NL,AS4755,AS1136
10.11.20.8,10.11.20.8,TX10000906,2026-01-03 14:59:00,W000024,W000014,US,SG,AS7922,AS9506
10.15.20.4,10.12.10.2,TX10003151,2026-01-03 15:34:00,W002245,W002037,NL,DE,AS6830,AS3320
10.13.30.1,10.15.20.2,TX10003316,2026-01-03 16:38:00,W000400,W002416,US,AU,AS15169,AS4804
10.14.20.5,10.14.30.3,TX10001431,2026-01-03 17:09:00,W002427,W000630,US,CA,AS15169,AS577
10.13.10.7,10.12.20.4,TX10007083,2026-01-03 17:33:00,W001843,W001744,GB,SG,AS5089,AS4657
10.12.10.8,10.14.30.7,TX10006173,2026-01-03 17:37:00,W001340,W002130,US,NL,AS7922,AS1136
10.12.30.4,10.14.20.8,TX10006725,2026-01-03 17:43:00,W001968,W002216,IN,IN,AS45609,AS55836
10.12.30.3,10.11.20.1,TX10006103,2026-01-03 18:59:00,W000530,W002287,US,SG,AS7018,AS9506
10.11.10.6,10.14.30.1,TX10002738,2026-01-03 19:58:00,W000089,W002232,DE,AU,AS3320,AS4804
10.13.30.6,10.15.20.8,TX10002449,2026-01-03 20:07:00,W002264,W001311,IN,GB,AS55836,AS2856
10.13.10.7,10.11.10.8,TX10007382,2026-01-03 20:23:00,W001997,W000832,DE,AU,AS6805,AS1221
10.13.10.2,10.15.10.3,TX10009590,2026-01-03 20:33:00,W000075,W001486,IN,IN,AS45609,AS45609
10.11.20.6,10.14.10.4,TX10002781,2026-01-03 21:30:00,W001690,W000640,IN,NL,AS45609,AS6830
10.14.20.5,10.12.30.4,TX10002262,2026-01-03 22:26:00,W001278,W001580,SG,AU,AS4657,AS4804
10.12.30.2,10.12.30.3,TX10008964,2026-01-03 23:00:00,W000248,W001645,CA,US,AS577,AS7018
10.12.30.1,10.13.10.1,TX10003420,2026-01-03 23:14:00,W001722,W000296,IN,IN,AS45609,AS45609
10.14.20.3,10.11.10.8,TX10003162,2026-01-03 23:14:00,W002463,W000272,GB,US,AS5089,AS7922
10.12.30.1,10.11.20.7,TX10004840,2026-01-03 23:16:00,W002398,W001531,GB,US,AS2856,AS7018
10.11.20.8,10.15.10.2,TX10009717,2026-01-03 23:30:00,W001381,W002252,IN,SG,AS45609,AS9506
10.15.30.4,10.11.20.1,TX10008806,2026-01-04 00:02:00,W000292,W000987,GB,NL,AS5089,AS1136
10.13.20.3,10.14.30.8,TX10009549,2026-01-04 00:38:00,W001698,W001994,NL,SG,AS1136,AS4657
10.11.30.6,10.12.20.3,TX10008322,2026-01-04 00:59:00,W000602,W001915,CA,IN,AS812,AS55836
10.15.20.3,10.14.20.3,TX10005711,2026-01-04 01:25:00,W001816,W002494,GB,AU,AS2856,AS4804
10.15.20.8,10.11.20.5,TX10003605,2026-01-04 01:27:00,W001860,W001378,IN,IN,AS55836,AS45609
10.14.30.1,10.13.10.3,TX10000235,2026-01-04 01:51:00,W001827,W000489,GB,NL,AS2856,AS6830
10.12.10.2,10.12.30.7,TX10003799,2026-01-04 02:18:00,W001733,W000229,IN,NL,AS4755,AS1136
10.15.20.8,10.11.10.7,TX10001843,2026-01-04 02:32:00,W002057,W002033,IN,AU,AS45609,AS1221
10.15.20.5,10.15.20.1,TX10009352,2026-01-04 04:50:00,W002459,W000755,GB,DE,AS5089,AS6805
10.14.30.5,10.13.30.5,TX10007406,2026-01-04 05:05:00,W001364,W000886,IN,CA,AS4755,AS812
10.11.10.5,10.11.20.7,TX10001519,2026-01-04 05:08:00,W002274,W000808,US,SG,AS7922,AS9506
10.12.20.7,10.12.30.5,TX10006321,2026-01-04 05:51:00,W001803,W000146,GB,US,AS5089,AS7018
10.13.30.1,10.12.20.5,TX10001141,2026-01-04 06:00:00,W000072,W000423,DE,NL,AS3320,AS6830
10.12.30.8,10.15.30.5,TX10006117,2026-01-04 06:19:00,W000756,W002254,US,GB,AS15169,AS5089
10.14.30.1,10.11.10.4,TX10000790,2026-01-04 06:32:00,W000050,W001632,IN,AU,AS4755,AS1221
10.12.10.8,10.15.30.1,TX10005722,2026-01-04 06:38:00,W001365,W000123,US,NL,AS7018,AS6830
10.14.10.2,10.12.10.4,TX10007640,2026-01-04 06:42:00,W001211,W001758,DE,SG,AS3320,AS4657
10.14.30.8,10.11.20.1,TX10009360,2026-01-04 07:04:00,W000348,W002121,CA,SG,AS577,AS4657
10.15.30.5,10.13.10.2,TX10007516,2026-01-04 07:27:00,W000287,W000375,SG,CA,AS4657,AS812
10.14.10.1,10.12.30.7,TX10005069,2026-01-04 07:28:00,W001341,W001418,NL,NL,AS1136,AS1136
10.13.20.8,10.15.20.3,TX10008052,2026-01-04 07:59:00,W000110,W000623,CA,US,AS577,AS15169
10.12.30.3,10.13.30.5,TX10002544,2026-01-04 08:31:00,W001299,W002192,IN,DE,AS4755,AS6805
10.14.30.5,10.11.30.5,TX10007312,2026-01-04 08:46:00,W000366,W000048,IN,CA,AS45609,AS812
10.12.30.2,10.12.30.1,TX10009499,2026-01-04 08:56:00,W000607,W000348,IN,GB,AS45609,AS5089
10.15.10.8,10.12.10.2,TX10002436,2026-01-04 09:32:00,W001067,W000309,IN,DE,AS55836,AS3320
10.13.20.1,10.14.20.8,TX10004334,2026-01-04 09:37:00,W000770,W002109,CA,AU,AS812,AS4804
10.11.10.7,10.14.30.2,TX10004860,2026-01-04 09:42:00,W000815,W000158,SG,US,AS4657,AS7018
10.15.10.2,10.12.30.1,TX10006530,2026-01-04 10:48:00,W001902,W000780,US,DE,AS7922,AS3320
10.13.10.3,10.14.20.2,TX10003126,2026-01-04 12:08:00,W000169,W002321,DE,DE,AS6805,AS6805
10.11.20.2,10.11.10.1,TX10007200,2026-01-04 12:45:00,W001988,W001251,SG,AU,AS9506,AS1221
10.12.10.8,10.15.30.5,TX10003729,2026-01-04 13:10:00,W001458,W000653,IN,NL,AS4755,AS6830
10.12.20.5,10.15.30.4,TX10002234,2026-01-04 13:11:00,W000020,W001342,CA,NL,AS812,AS1136
10.15.30.7,10.14.30.3,TX10001046,2026-01-04 13:12:00,W000055,W000831,US,AU,AS7018,AS1221
10.15.10.6,10.12.20.8,TX10006933,2026-01-04 13:27:00,W001068,W002259,CA,NL,AS577,AS6830
10.15.20.1,10.11.20.7,TX10001475,2026-01-04 13:43:00,W002468,W002066,US,AU,AS7018,AS4804
10.15.10.5,10.14.20.6,TX10000654,2026-01-04 14:03:00,W000035,W002076,NL,CA,AS1136,AS812
10.13.20.5,10.14.30.5,TX10001971,2026-01-04 14:18:00,W002351,W001171,AU,DE,AS1221,AS6805
10.15.30.7,10.11.30.7,TX10003681,2026-01-04 14:56:00,W001204,W002057,US,IN,AS7922,AS45609
10.13.10.3,10.11.10.5,TX10008494,2026-01-04 15:25:00,W000581,W002231,SG,IN,AS9506,AS55836
10.15.20.8,10.14.20.5,TX10004436,2026-01-04 15:28:00,W001101,W000134,CA,IN,AS812,AS4755
10.13.20.3,10.11.30.7,TX10004425,2026-01-04 15:56:00,W001046,W000291,IN,IN,AS45609,AS55836
10.14.20.1,10.11.30.1,TX10006404,2026-01-04 15:59:00,W002352,W001185,CA,GB,AS577,AS2856
10.14.30.8,10.13.30.7,TX10008537,2026-01-04 16:24:00,W001715,W002235,DE,DE,AS3320,AS6805
10.13.20.2,10.11.30.6,TX10007114,2026-01-04 16:49:00,W000556,W001660,US,US,AS7922,AS7922
10.12.10.3,10.11.10.1,TX10008663,2026-01-04 16:54:00,W002378,W002327,IN,CA,AS55836,AS577
10.15.20.4,10.11.30.7,TX10000880,2026-01-04 17:09:00,W001499,W000992,AU,NL,AS4804,AS1136
10.11.30.8,10.14.30.3,TX10001438,2026-01-04 17:14:00,W001632,W002104,IN,US,AS55836,AS7922
10.12.20.5,10.13.20.7,TX10005994,2026-01-04 18:20:00,W002325,W000518,IN,DE,AS45609,AS3320
10.14.10.8,10.14.30.1,TX10007629,2026-01-04 19:31:00,W000133,W000519,NL,NL,AS1136,AS6830
10.14.20.1,10.15.20.2,TX10006712,2026-01-04 20:05:00,W001017,W001533,SG,SG,AS9506,AS9506
10.15.30.8,10.13.10.8,TX10005672,2026-01-04 21:26:00,W002422,W000673,US,IN,AS7018,AS55836
10.14.10.3,10.13.20.4,TX10004145,2026-01-04 21:52:00,W001021,W000471,IN,AU,AS55836,AS4804
10.14.20.8,10.15.30.3,TX10008005,2026-01-04 22:18:00,W000304,W001513,IN,NL,AS4755,AS1136
10.11.30.8,10.14.10.7,TX10008135,2026-01-04 22:21:00,W001476,W001872,US,GB,AS15169,AS5089
10.12.10.3,10.15.30.4,TX10005381,2026-01-04 22:31:00,W001982,W001048,US,IN,AS7018,AS45609
10.12.10.8,10.12.30.8,TX10002772,2026-01-04 23:12:00,W001222,W000947,AU,GB,AS1221,AS5089
10.14.10.4,10.14.10.2,TX10000096,2026-01-04 23:28:00,W000289,W000111,DE,NL,AS3320,AS6830
10.14.30.3,10.11.30.8,TX10008104,2026-01-04 23:35:00,W002440,W001997,AU,GB,AS4804,AS5089
10.12.30.6,10.15.30.4,TX10009676,2026-01-05 00:02:00,W001390,W000303,IN,CA,AS45609,AS577
10.11.20.5,10.14.20.1,TX10009205,2026-01-05 00:34:00,W001506,W001933,IN,SG,AS4755,AS9506
10.12.20.5,10.12.20.4,TX10005431,2026-01-05 00:36:00,W001264,W001979,GB,DE,AS2856,AS6805
10.14.10.4,10.14.20.3,TX10009760,2026-01-05 01:05:00,W000668,W001791,SG,GB,AS4657,AS5089
10.11.10.5,10.15.30.4,TX10003517,2026-01-05 02:01:00,W001040,W000170,GB,SG,AS5089,AS9506
10.13.30.1,10.11.20.5,TX10007452,2026-01-05 02:05:00,W001003,W000773,US,IN,AS7922,AS4755
10.12.20.8,10.12.10.1,TX10003368,2026-01-05 02:08:00,W002168,W001566,SG,DE,AS9506,AS6805
10.13.10.7,10.11.10.6,TX10002864,2026-01-05 02:18:00,W001678,W002397,CA,NL,AS577,AS1136
10.14.20.7,10.11.30.3,TX10003289,2026-01-05 02:43:00,W001258,W000786,NL,US,AS1136,AS7922
10.12.10.4,10.13.10.1,TX10000577,2026-01-05 04:34:00,W000046,W002080,US,CA,AS15169,AS812
10.15.20.3,10.12.20.7,TX10001315,2026-01-05 04:43:00,W002076,W001273,IN,NL,AS45609,AS1136
10.14.10.1,10.13.20.5,TX10006788,2026-01-05 05:01:00,W000562,W002354,SG,IN,AS4657,AS55836
10.13.30.3,10.13.20.3,TX10009852,2026-01-05 05:35:00,W002040,W001658,IN,SG,AS45609,AS9506
10.14.30.3,10.15.20.1,TX10003926,2026-01-05 05:40:00,W000211,W001803,IN,DE,AS55836,AS6805
10.12.20.3,10.11.10.4,TX10006503,2026-01-05 05:42:00,W001814,W000734,IN,NL,AS55836,AS1136
10.15.20.2,10.11.20.2,TX10004489,2026-01-05 06:35:00,W002177,W000061,US,GB,AS7018,AS2856
10.13.30.6,10.12.30.7,TX10008867,2026-01-05 06:53:00,W002036,W001823,US,GB,AS7018,AS5089
10.14.20.1,10.14.10.5,TX10008418,2026-01-05 07:19:00,W001354,W000596,IN,GB,AS4755,AS5089
10.15.10.3,10.13.10.7,TX10005213,2026-01-05 07:21:00,W001053,W002131,IN,NL,AS55836,AS6830
10.15.30.6,10.11.20.2,TX10001839,2026-01-05 07:44:00,W001448,W002284,IN,CA,AS4755,AS812
10.15.30.3,10.14.30.5,TX10009608,2026-01-05 08:15:00,W002248,W000495,IN,NL,AS55836,AS1136
10.14.30.3,10.14.20.8,TX10008191,2026-01-05 08:20:00,W001405,W001184,IN,SG,AS55836,AS9506
10.14.10.4,10.11.20.8,TX10001331,2026-01-05 08:48:00,W001403,W000278,IN,SG,AS4755,AS4657
10.15.10.2,10.15.20.5,TX10007085,2026-01-05 08:53:00,W001495,W001889,US,CA,AS7018,AS812
10.12.30.1,10.13.20.2,TX10005805,2026-01-05 08:59:00,W000792,W001632,US,NL,AS15169,AS1136
10.14.30.8,10.15.30.4,TX10009364,2026-01-05 09:10:00,W000618,W002272,GB,AU,AS5089,AS4804
10.14.20.3,10.14.30.8,TX10006819,2026-01-05 09:18:00,W001669,W000029,SG,AU,AS4657,AS1221
10.15.20.7,10.14.20.7,TX10001787,2026-01-05 09:32:00,W001842,W000709,AU,AU,AS4804,AS1221
