txid,source_wallet,destination_wallet,amount_btc,timestamp,ground_truth,scenario
TX10000355,W000729,W001135,2.375048,2026-01-01 17:26:00,synthetic_anomalous,cross_border_burst
TX10005645,W000422,W001080,0.684931,2026-01-01 17:53:00,synthetic_normal,normal
TX10009858,W000168,W000389,0.207832,2026-01-01 18:13:00,synthetic_normal,normal
TX10009946,W000718,W002228,0.896098,2026-01-01 18:26:00,synthetic_normal,normal
TX10005771,W001986,W001888,0.140942,2026-01-01 19:06:00,synthetic_normal,normal
TX10008923,W000125,W001773,0.533631,2026-01-01 19:26:00,synthetic_normal,normal
TX10008585,W001387,W001097,0.101547,2026-01-01 20:06:00,synthetic_normal,normal
TX10001861,W000548,W000422,0.255701,2026-01-01 20:12:00,synthetic_normal,normal
TX10007087,W001643,W000613,0.17458,2026-01-01 20:49:00,synthetic_normal,normal
TX10008722,W001304,W000239,0.256649,2026-01-01 21:13:00,synthetic_normal,normal
TX10000125,W000046,W000200,3.257894,2026-01-01 21:52:00,synthetic_anomalous,high_connectivity
TX10007563,W000387,W001347,0.71835,2026-01-01 22:32:00,synthetic_normal,normal
TX10002057,W001267,W001290,0.331363,2026-01-01 22:34:00,synthetic_normal,normal
TX10008449,W000653,W000164,0.616714,2026-01-01 22:59:00,synthetic_normal,normal
TX10002003,W002214,W001724,3.057468,2026-01-01 23:27:00,synthetic_normal,normal
TX10006958,W000824,W000375,0.796642,2026-01-01 23:32:00,synthetic_normal,normal
TX10005914,W000208,W001498,0.407893,2026-01-01 23:35:00,synthetic_normal,normal
TX10009901,W000487,W002415,0.065369,2026-01-01 23:48:00,synthetic_normal,normal
TX10000076,W000573,W001013,0.346804,2026-01-01 23:48:00,synthetic_anomalous,high_frequency
TX10004810,W001926,W001629,0.551925,2026-01-01 23:48:00,synthetic_normal,normal
TX10004681,W000647,W002321,0.345958,2026-01-02 01:16:00,synthetic_normal,normal
TX10002579,W000074,W001544,0.831708,2026-01-02 01:30:00,synthetic_normal,normal
TX10000652,W000580,W001700,11.147195,2026-01-02 01:31:00,synthetic_anomalous,high_frequency
TX10005568,W001696,W000308,0.23092,2026-01-02 01:38:00,synthetic_normal,normal
TX10008495,W000195,W000609,0.241722,2026-01-02 01:53:00,synthetic_normal,normal
TX10002551,W001302,W000278,0.279203,2026-01-02 02:04:00,synthetic_normal,normal
TX10006554,W001030,W001231,0.192721,2026-01-02 02:22:00,synthetic_normal,normal
TX10005100,W000662,W000699,0.601462,2026-01-02 02:43:00,synthetic_normal,normal
TX10000774,W000011,W000038,7.591054,2026-01-02 02:47:00,synthetic_anomalous,ip_wallet_reuse
TX10003369,W001104,W001388,0.260539,2026-01-02 03:16:00,synthetic_normal,normal
TX10009160,W000416,W000301,0.20834,2026-01-02 03:43:00,synthetic_normal,normal
TX10008945,W001866,W001519,0.654647,2026-01-02 03:54:00,synthetic_normal,normal
TX10003657,W000990,W002171,0.811555,2026-01-02 03:54:00,synthetic_normal,normal
TX10003640,W000111,W002426,0.511521,2026-01-02 04:01:00,synthetic_normal,normal
TX10000191,W000009,W001528,4.19655,2026-01-02 04:47:00,synthetic_anomalous,layered_transfer
TX10002289,W000091,W001172,0.287539,2026-01-02 04:55:00,synthetic_normal,normal
TX10008626,W001934,W002170,1.533631,2026-01-02 05:04:00,synthetic_normal,normal
TX10003531,W001084,W002339,0.866653,2026-01-02 05:14:00,synthetic_normal,normal
TX10009520,W000585,W001752,0.255855,2026-01-02 06:21:00,synthetic_normal,normal
TX10000922,W000016,W001007,2.212179,2026-01-02 06:47:00,synthetic_anomalous,fan_in
TX10005392,W001659,W002364,0.472154,2026-01-02 08:05:00,synthetic_normal,normal
TX10001688,W000847,W000056,1.119198,2026-01-02 08:14:00,synthetic_normal,normal
TX10001146,W000682,W000190,0.181464,2026-01-02 08:52:00,synthetic_normal,normal
TX10001886,W000402,W001199,0.638028,2026-01-02 09:17:00,synthetic_normal,normal
TX10007161,W002146,W001827,0.111805,2026-01-02 09:42:00,synthetic_normal,normal
TX10002033,W002116,W000806,0.302091,2026-01-02 10:02:00,synthetic_normal,normal
TX10006302,W001379,W000758,0.11393,2026-01-02 10:10:00,synthetic_normal,normal
TX10005355,W000505,W000547,0.113729,2026-01-02 10:19:00,synthetic_normal,normal
TX10002635,W001289,W001083,0.843668,2026-01-02 10:33:00,synthetic_normal,normal
TX10008845,W002437,W002310,0.301947,2026-01-02 11:49:00,synthetic_normal,normal
TX10000049,W000015,W000246,12.577725,2026-01-02 13:17:00,synthetic_anomalous,fan_out
TX10001900,W001471,W002467,0.867926,2026-01-02 13:36:00,synthetic_normal,normal
TX10001408,W002028,W000410,1.150468,2026-01-02 13:40:00,synthetic_normal,normal
TX10002249,W001516,W000789,0.780039,2026-01-02 15:20:00,synthetic_normal,normal
TX10005154,W000036,W000528,0.296729,2026-01-02 15:28:00,synthetic_normal,normal
TX10006055,W000719,W002377,0.361855,2026-01-02 15:45:00,synthetic_normal,normal
TX10005747,W001437,W000437,0.438357,2026-01-02 16:30:00,synthetic_normal,normal
TX10007375,W001366,W000146,0.541157,2026-01-02 17:05:00,synthetic_normal,normal
TX10008481,W001939,W000931,0.11289,2026-01-02 17:35:00,synthetic_normal,normal
TX10005119,W001713,W000894,1.069599,2026-01-02 17:38:00,synthetic_normal,normal
TX10006665,W000916,W002491,0.275132,2026-01-02 17:51:00,synthetic_normal,normal
TX10005485,W000798,W000881,0.315256,2026-01-02 18:04:00,synthetic_normal,normal
TX10002778,W000303,W001660,0.207746,2026-01-02 18:25:00,synthetic_normal,normal
TX10007702,W000978,W001735,0.400544,2026-01-02 18:30:00,synthetic_normal,normal
TX10007416,W001784,W000269,0.275197,2026-01-02 18:41:00,synthetic_normal,normal
TX10002344,W001403,W000974,0.368778,2026-01-02 18:53:00,synthetic_normal,normal
TX10005570,W000281,W000850,0.183741,2026-01-02 20:03:00,synthetic_normal,normal
TX10006654,W000849,W001683,0.448117,2026-01-02 21:00:00,synthetic_normal,normal
TX10000200,W001942,W000747,2.376474,2026-01-02 21:51:00,synthetic_anomalous,rapid_chain
TX10009247,W002263,W001901,0.533172,2026-01-02 23:17:00,synthetic_normal,normal
TX10004185,W001849,W000151,0.43166,2026-01-02 23:26:00,synthetic_normal,normal
TX10002250,W000331,W001231,0.407186,2026-01-03 00:47:00,synthetic_normal,normal
TX10005001,W001891,W001442,0.366625,2026-01-03 00:50:00,synthetic_normal,normal
TX10003044,W001715,W001802,0.416753,2026-01-03 01:00:00,synthetic_normal,normal
TX10001579,W002111,W001111,0.077655,2026-01-03 01:02:00,synthetic_normal,normal
TX10005950,W001096,W002229,0.474704,2026-01-03 02:27:00,synthetic_normal,normal
TX10004473,W002464,W001645,0.470019,2026-01-03 02:40:00,synthetic_normal,normal
TX10007166,W001799,W000694,0.613502,2026-01-03 03:31:00,synthetic_normal,normal
TX10004311,W001343,W000130,0.169732,2026-01-03 03:40:00,synthetic_normal,normal
TX10004966,W001745,W001928,0.475095,2026-01-03 03:49:00,synthetic_normal,normal
TX10008253,W000287,W002441,0.40755,2026-01-03 04:28:00,synthetic_normal,normal
TX10004571,W001007,W001271,1.242878,2026-01-03 05:00:00,synthetic_normal,normal
TX10007545,W001156,W000262,0.378738,2026-01-03 05:04:00,synthetic_normal,normal
TX10006988,W000537,W001845,0.174843,2026-01-03 06:01:00,synthetic_normal,normal
TX10004870,W001834,W000770,0.240516,2026-01-03 06:26:00,synthetic_normal,normal
TX10006002,W000218,W000843,0.422119,2026-01-03 06:31:00,synthetic_normal,normal
TX10005553,W000371,W002443,0.646903,2026-01-03 06:31:00,synthetic_normal,normal
TX10004464,W001023,W000180,0.06631,2026-01-03 07:00:00,synthetic_normal,normal
TX10002107,W000140,W002158,0.196837,2026-01-03 07:28:00,synthetic_normal,normal
TX10002162,W000613,W001471,2.53479,2026-01-03 07:34:00,synthetic_normal,normal
TX10004985,W001776,W001135,1.002202,2026-01-03 09:11:00,synthetic_normal,normal
TX10005347,W001635,W000457,0.229461,2026-01-03 10:18:00,synthetic_normal,normal
TX10006347,W001255,W002014,0.344759,2026-01-03 10:36:00,synthetic_normal,normal
TX10008263,W000947,W000930,0.889022,2026-01-03 11:31:00,synthetic_normal,normal
TX10008737,W000976,W000439,2.310436,2026-01-03 11:32:00,synthetic_normal,normal
TX10004818,W001615,W001147,0.931545,2026-01-03 12:20:00,synthetic_normal,normal
TX10008742,W000718,W001417,0.256987,2026-01-03 12:31:00,synthetic_normal,normal
TX10004552,W000528,W000700,0.168866,2026-01-03 12:50:00,synthetic_normal,normal
TX10006371,W001993,W002132,1.943027,2026-01-03 12:58:00,synthetic_normal,normal
TX10008612,W001033,W001890,2.629562,2026-01-03 13:01:00,synthetic_normal,normal
TX10009349,W000993,W001866,0.693502,2026-01-03 13:39:00,synthetic_normal,normal
TX10002706,W000884,W000848,0.737034,2026-01-03 13:51:00,synthetic_normal,normal
TX10005090,W001240,W001035,0.327789,2026-01-03 13:58:00,synthetic_normal,normal
TX10003447,W002303,W000858,0.292536,2026-01-03 14:02:00,synthetic_normal,normal
TX10005616,W001158,W002494,0.770875,2026-01-03 14:39:00,synthetic_normal,normal
TX10008825,W000798,W000322,0.405657,2026-01-03 14:59:00,synthetic_normal,normal
TX10000906,W000024,W000014,3.476113,2026-01-03 14:59:00,synthetic_anomalous,fan_in
TX10003151,W002245,W002037,0.39803,2026-01-03 15:34:00,synthetic_normal,normal
TX10003316,W000400,W002416,0.164617,2026-01-03 16:38:00,synthetic_normal,normal
TX10001431,W002427,W000630,0.547335,2026-01-03 17:09:00,synthetic_normal,normal
TX10007083,W001843,W001744,0.273184,2026-01-03 17:33:00,synthetic_normal,normal
TX10006173,W001340,W002130,0.447211,2026-01-03 17:37:00,synthetic_normal,normal
TX10006725,W001968,W002216,0.118818,2026-01-03 17:43:00,synthetic_normal,normal
TX10006103,W000530,W002287,0.277106,2026-01-03 18:59:00,synthetic_normal,normal
TX10002738,W000089,W002232,0.432203,2026-01-03 19:58:00,synthetic_normal,normal
TX10002449,W002264,W001311,0.976251,2026-01-03 20:07:00,synthetic_normal,normal
TX10007382,W001997,W000832,0.978502,2026-01-03 20:23:00,synthetic_normal,normal
TX10009590,W000075,W001486,0.328434,2026-01-03 20:33:00,synthetic_normal,normal
TX10002781,W001690,W000640,0.727875,2026-01-03 21:30:00,synthetic_normal,normal
TX10002262,W001278,W001580,0.2106,2026-01-03 22:26:00,synthetic_normal,normal
TX10008964,W000248,W001645,0.270316,2026-01-03 23:00:00,synthetic_normal,normal
TX10003420,W001722,W000296,0.299212,2026-01-03 23:14:00,synthetic_normal,normal
TX10003162,W002463,W000272,0.585087,2026-01-03 23:14:00,synthetic_normal,normal
TX10004840,W002398,W001531,1.729198,2026-01-03 23:16:00,synthetic_normal,normal
TX10009717,W001381,W002252,1.499415,2026-01-03 23:30:00,synthetic_normal,normal
TX10008806,W000292,W000987,0.763358,2026-01-04 00:02:00,synthetic_normal,normal
TX10009549,W001698,W001994,0.953914,2026-01-04 00:38:00,synthetic_normal,normal
TX10008322,W000602,W001915,0.594235,2026-01-04 00:59:00,synthetic_normal,normal
TX10005711,W001816,W002494,0.2832,2026-01-04 01:25:00,synthetic_normal,normal
TX10003605,W001860,W001378,1.861138,2026-01-04 01:27:00,synthetic_normal,normal
TX10000235,W001827,W000489,1.066806,2026-01-04 01:51:00,synthetic_anomalous,cross_border_burst
TX10003799,W001733,W000229,0.688522,2026-01-04 02:18:00,synthetic_normal,normal
TX10001843,W002057,W002033,0.905612,2026-01-04 02:32:00,synthetic_normal,normal
TX10009352,W002459,W000755,0.476316,2026-01-04 04:50:00,synthetic_normal,normal
TX10007406,W001364,W000886,0.326068,2026-01-04 05:05:00,synthetic_normal,normal
TX10001519,W002274,W000808,1.099473,2026-01-04 05:08:00,synthetic_normal,normal
TX10006321,W001803,W000146,1.159045,2026-01-04 05:51:00,synthetic_normal,normal
TX10001141,W000072,W000423,0.368214,2026-01-04 06:00:00,synthetic_normal,normal
TX10006117,W000756,W002254,0.165689,2026-01-04 06:19:00,synthetic_normal,normal
TX10000790,W000050,W001632,2.088684,2026-01-04 06:32:00,synthetic_anomalous,ip_wallet_reuse
TX10005722,W001365,W000123,0.494562,2026-01-04 06:38:00,synthetic_normal,normal
TX10007640,W001211,W001758,1.259442,2026-01-04 06:42:00,synthetic_normal,normal
TX10009360,W000348,W002121,0.200938,2026-01-04 07:04:00,synthetic_normal,normal
TX10007516,W000287,W000375,0.185876,2026-01-04 07:27:00,synthetic_normal,normal
TX10005069,W001341,W001418,0.39411,2026-01-04 07:28:00,synthetic_normal,normal
TX10008052,W000110,W000623,0.337207,2026-01-04 07:59:00,synthetic_normal,normal
TX10002544,W001299,W002192,0.388287,2026-01-04 08:31:00,synthetic_normal,normal
TX10007312,W000366,W000048,1.301283,2026-01-04 08:46:00,synthetic_normal,normal
TX10009499,W000607,W000348,0.681063,2026-01-04 08:56:00,synthetic_normal,normal
TX10002436,W001067,W000309,0.601814,2026-01-04 09:32:00,synthetic_normal,normal
TX10004334,W000770,W002109,0.671079,2026-01-04 09:37:00,synthetic_normal,normal
TX10004860,W000815,W000158,1.201003,2026-01-04 09:42:00,synthetic_normal,normal
TX10006530,W001902,W000780,0.29476,2026-01-04 10:48:00,synthetic_normal,normal
TX10003126,W000169,W002321,0.24276,2026-01-04 12:08:00,synthetic_normal,normal
TX10007200,W001988,W001251,0.432419,2026-01-04 12:45:00,synthetic_normal,normal
TX10003729,W001458,W000653,0.131848,2026-01-04 13:10:00,synthetic_normal,normal
TX10002234,W000020,W001342,0.270338,2026-01-04 13:11:00,synthetic_normal,normal
TX10001046,W000055,W000831,0.519107,2026-01-04 13:12:00,synthetic_normal,normal
TX10006933,W001068,W002259,0.33235,2026-01-04 13:27:00,synthetic_normal,normal
TX10001475,W002468,W002066,0.435887,2026-01-04 13:43:00,synthetic_normal,normal
TX10000654,W000035,W002076,1.524141,2026-01-04 14:03:00,synthetic_anomalous,ip_wallet_reuse
TX10001971,W002351,W001171,0.468559,2026-01-04 14:18:00,synthetic_normal,normal
TX10003681,W001204,W002057,0.949535,2026-01-04 14:56:00,synthetic_normal,normal
TX10008494,W000581,W002231,0.551861,2026-01-04 15:25:00,synthetic_normal,normal
TX10004436,W001101,W000134,0.232959,2026-01-04 15:28:00,synthetic_normal,normal
TX10004425,W001046,W000291,0.205816,2026-01-04 15:56:00,synthetic_normal,normal
TX10006404,W002352,W001185,0.349431,2026-01-04 15:59:00,synthetic_normal,normal
TX10008537,W001715,W002235,0.17407,2026-01-04 16:24:00,synthetic_normal,normal
TX10007114,W000556,W001660,0.238261,2026-01-04 16:49:00,synthetic_normal,normal
TX10008663,W002378,W002327,0.230793,2026-01-04 16:54:00,synthetic_normal,normal
TX10000880,W001499,W000992,2.357538,2026-01-04 17:09:00,synthetic_anomalous,rapid_chain
TX10001438,W001632,W002104,0.199501,2026-01-04 17:14:00,synthetic_normal,normal
TX10005994,W002325,W000518,0.263725,2026-01-04 18:20:00,synthetic_normal,normal
TX10007629,W000133,W000519,0.198792,2026-01-04 19:31:00,synthetic_normal,normal
TX10006712,W001017,W001533,0.127546,2026-01-04 20:05:00,synthetic_normal,normal
TX10005672,W002422,W000673,0.88674,2026-01-04 21:26:00,synthetic_normal,normal
TX10004145,W001021,W000471,0.477574,2026-01-04 21:52:00,synthetic_normal,normal
TX10008005,W000304,W001513,0.600095,2026-01-04 22:18:00,synthetic_normal,normal
TX10008135,W001476,W001872,0.305888,2026-01-04 22:21:00,synthetic_normal,normal
TX10005381,W001982,W001048,0.20327,2026-01-04 22:31:00,synthetic_normal,normal
TX10002772,W001222,W000947,0.397987,2026-01-04 23:12:00,synthetic_normal,normal
TX10000096,W000289,W000111,6.986115,2026-01-04 23:28:00,synthetic_anomalous,rapid_chain
TX10008104,W002440,W001997,0.85342,2026-01-04 23:35:00,synthetic_normal,normal
TX10009676,W001390,W000303,1.477261,2026-01-05 00:02:00,synthetic_normal,normal
TX10009205,W001506,W001933,0.317595,2026-01-05 00:34:00,synthetic_normal,normal
TX10005431,W001264,W001979,1.023303,2026-01-05 00:36:00,synthetic_normal,normal
TX10009760,W000668,W001791,0.712848,2026-01-05 01:05:00,synthetic_normal,normal
TX10003517,W001040,W000170,0.383217,2026-01-05 02:01:00,synthetic_normal,normal
TX10007452,W001003,W000773,0.636948,2026-01-05 02:05:00,synthetic_normal,normal
TX10003368,W002168,W001566,0.380527,2026-01-05 02:08:00,synthetic_normal,normal
TX10002864,W001678,W002397,0.173431,2026-01-05 02:18:00,synthetic_normal,normal
TX10003289,W001258,W000786,0.806133,2026-01-05 02:43:00,synthetic_normal,normal
TX10000577,W000046,W002080,2.693065,2026-01-05 04:34:00,synthetic_anomalous,fan_out
TX10001315,W002076,W001273,0.557413,2026-01-05 04:43:00,synthetic_normal,normal
TX10006788,W000562,W002354,0.600829,2026-01-05 05:01:00,synthetic_normal,normal
TX10009852,W002040,W001658,1.638265,2026-01-05 05:35:00,synthetic_normal,normal
TX10003926,W000211,W001803,0.4551,2026-01-05 05:40:00,synthetic_normal,normal
TX10006503,W001814,W000734,0.2954,2026-01-05 05:42:00,synthetic_normal,normal
TX10004489,W002177,W000061,1.389415,2026-01-05 06:35:00,synthetic_normal,normal
TX10008867,W002036,W001823,0.591213,2026-01-05 06:53:00,synthetic_normal,normal
TX10008418,W001354,W000596,0.481458,2026-01-05 07:19:00,synthetic_normal,normal
TX10005213,W001053,W002131,0.945696,2026-01-05 07:21:00,synthetic_normal,normal
TX10001839,W001448,W002284,0.358302,2026-01-05 07:44:00,synthetic_normal,normal
TX10009608,W002248,W000495,0.209643,2026-01-05 08:15:00,synthetic_normal,normal
TX10008191,W001405,W001184,0.547342,2026-01-05 08:20:00,synthetic_normal,normal
TX10001331,W001403,W000278,0.73822,2026-01-05 08:48:00,synthetic_normal,normal
TX10007085,W001495,W001889,0.271321,2026-01-05 08:53:00,synthetic_normal,normal
TX10005805,W000792,W001632,0.908768,2026-01-05 08:59:00,synthetic_normal,normal
TX10009364,W000618,W002272,1.088732,2026-01-05 09:10:00,synthetic_normal,normal
TX10006819,W001669,W000029,1.137046,2026-01-05 09:18:00,synthetic_normal,normal
TX10001787,W001842,W000709,0.281746,2026-01-05 09:32:00,synthetic_normal,normal
TX10004693,W001026,W001984,0.256134,2026-01-05 09:40:00,synthetic_normal,normal
TX10006226,W001844,W000479,0.633352,2026-01-05 10:14:00,synthetic_normal,normal
TX10001970,W000739,W000049,0.52008,2026-01-05 10:32:00,synthetic_normal,normal
TX10001943,W001238,W000547,0.507734,2026-01-05 10:39:00,synthetic_normal,normal
TX10006081,W000169,W001654,0.940386,2026-01-05 10:44:00,synthetic_normal,normal
TX10005326,W002406,W001064,0.419095,2026-01-05 10:56:00,synthetic_normal,normal
TX10001182,W000469,W000007,0.111166,2026-01-05 11:05:00,synthetic_normal,normal
TX10001154,W000210,W002053,1.532822,2026-01-05 11:07:00,synthetic_normal,normal
TX10000461,W000036,W000991,1.514689,2026-01-05 11:10:00,synthetic_anomalous,high_connectivity
TX10002339,W002440,W001855,0.416715,2026-01-05 11:17:00,synthetic_normal,normal
TX10000989,W000029,W000288,4.471651,2026-01-05 11:50:00,synthetic_anomalous,high_connectivity
TX10009635,W000702,W000114,0.742375,2026-01-05 12:10:00,synthetic_normal,normal
TX10005147,W002055,W002210,0.398071,2026-01-05 12:18:00,synthetic_normal,normal
TX10002198,W002000,W000489,0.506995,2026-01-05 12:36:00,synthetic_normal,normal
TX10004434,W000207,W000974,0.526207,2026-01-05 13:01:00,synthetic_normal,normal
TX10000568,W001960,W001411,0.764502,2026-01-05 13:26:00,synthetic_anomalous,rapid_chain
TX10002629,W001041,W001252,0.152346,2026-01-05 13:59:00,synthetic_normal,normal
TX10009807,W000871,W001011,0.156474,2026-01-05 14:23:00,synthetic_normal,normal
TX10001249,W002201,W001566,0.215412,2026-01-05 15:03:00,synthetic_normal,normal
TX10000822,W000009,W001921,2.797818,2026-01-05 15:36:00,synthetic_anomalous,ip_wallet_reuse
TX10000276,W001486,W001634,1.935767,2026-01-05 16:18:00,synthetic_anomalous,high_frequency
TX10009009,W002305,W000228,0.462213,2026-01-05 16:35:00,synthetic_normal,normal
TX10004431,W001271,W001686,1.245211,2026-01-05 16:39:00,synthetic_normal,normal
TX10001867,W002145,W001751,0.259136,2026-01-05 16:41:00,synthetic_normal,normal
TX10001361,W001956,W001346,0.188149,2026-01-05 16:43:00,synthetic_normal,normal
TX10003125,W000823,W002138,0.843217,2026-01-05 17:00:00,synthetic_normal,normal
TX10009502,W001576,W001207,0.381611,2026-01-05 17:01:00,synthetic_normal,normal
TX10009659,W000058,W002211,0.499678,2026-01-05 17:07:00,synthetic_normal,normal
TX10004842,W000848,W001790,0.23991,2026-01-05 18:57:00,synthetic_normal,normal
TX10009693,W001087,W001220,1.164906,2026-01-05 19:16:00,synthetic_normal,normal
TX10005973,W000134,W000396,0.684874,2026-01-05 20:07:00,synthetic_normal,normal
TX10004790,W001264,W001573,0.240326,2026-01-05 20:08:00,synthetic_normal,normal
TX10003380,W001460,W002110,0.267889,2026-01-05 20:08:00,synthetic_normal,normal
TX10009429,W002465,W000735,0.451186,2026-01-05 20:14:00,synthetic_normal,normal
TX10003919,W001494,W001179,0.726472,2026-01-05 20:17:00,synthetic_normal,normal
TX10006179,W002226,W001888,0.44964,2026-01-05 20:22:00,synthetic_normal,normal
TX10007387,W000215,W001851,0.232274,2026-01-05 20:36:00,synthetic_normal,normal
TX10009893,W000250,W000831,0.442306,2026-01-05 20:53:00,synthetic_normal,normal
TX10001632,W002312,W002235,0.544312,2026-01-05 21:57:00,synthetic_normal,normal
TX10004024,W001928,W002264,0.167064,2026-01-05 23:34:00,synthetic_normal,normal
TX10004148,W001548,W000005,1.6528,2026-01-05 23:42:00,synthetic_normal,normal
TX10002004,W001966,W000456,0.802234,2026-01-06 00:06:00,synthetic_normal,normal
TX10006143,W001261,W001906,0.529796,2026-01-06 00:39:00,synthetic_normal,normal
TX10005659,W000317,W001757,0.347399,2026-01-06 01:18:00,synthetic_normal,normal
TX10004371,W001844,W001936,0.814261,2026-01-06 01:20:00,synthetic_normal,normal
TX10005628,W000933,W000780,0.802064,2026-01-06 02:06:00,synthetic_normal,normal
TX10001391,W000189,W002261,0.298118,2026-01-06 02:56:00,synthetic_normal,normal
TX10002623,W001972,W000352,0.386174,2026-01-06 03:36:00,synthetic_normal,normal
TX10001866,W001927,W002410,1.551823,2026-01-06 03:47:00,synthetic_normal,normal
TX10003679,W002308,W002075,0.896404,2026-01-06 03:51:00,synthetic_normal,normal
TX10004458,W002148,W002320,0.621464,2026-01-06 04:03:00,synthetic_normal,normal
TX10003001,W000102,W002414,0.163388,2026-01-06 05:00:00,synthetic_normal,normal
TX10009470,W001249,W001018,0.591955,2026-01-06 05:02:00,synthetic_normal,normal
TX10000441,W000015,W001599,2.207363,2026-01-06 05:48:00,synthetic_anomalous,fan_out
TX10007626,W001160,W001372,1.541041,2026-01-06 05:55:00,synthetic_normal,normal
TX10003014,W000463,W001521,0.98405,2026-01-06 06:18:00,synthetic_normal,normal
TX10003841,W002067,W000455,0.150832,2026-01-06 06:34:00,synthetic_normal,normal
TX10000023,W000016,W001663,1.955729,2026-01-06 06:45:00,synthetic_anomalous,layered_transfer
TX10001205,W000822,W000557,0.23651,2026-01-06 07:05:00,synthetic_normal,normal
TX10009289,W000651,W001266,0.475745,2026-01-06 07:08:00,synthetic_normal,normal
TX10000902,W000046,W001242,2.286752,2026-01-06 07:09:00,synthetic_anomalous,ip_wallet_reuse
TX10005952,W000167,W001167,1.322366,2026-01-06 07:37:00,synthetic_normal,normal
TX10007426,W001353,W000960,0.435235,2026-01-06 08:00:00,synthetic_normal,normal
TX10002260,W000768,W000418,0.294064,2026-01-06 09:16:00,synthetic_normal,normal
TX10004845,W001274,W000134,0.273382,2026-01-06 09:56:00,synthetic_normal,normal
TX10003079,W001799,W000942,1.156985,2026-01-06 12:30:00,synthetic_normal,normal
TX10007813,W000980,W001558,1.419636,2026-01-06 12:45:00,synthetic_normal,normal
TX10004675,W001746,W002203,0.967671,2026-01-06 13:00:00,synthetic_normal,normal
TX10006943,W002178,W001035,0.582792,2026-01-06 13:43:00,synthetic_normal,normal
TX10005843,W001329,W000687,0.20638,2026-01-06 14:13:00,synthetic_normal,normal
TX10008094,W000219,W001075,0.567713,2026-01-06 16:04:00,synthetic_normal,normal
TX10002047,W000661,W002269,0.341095,2026-01-06 16:10:00,synthetic_normal,normal
TX10000990,W000029,W000802,0.637861,2026-01-06 17:20:00,synthetic_anomalous,ip_wallet_reuse
TX10008833,W002478,W001169,0.632073,2026-01-06 17:39:00,synthetic_normal,normal
TX10004522,W000086,W001530,0.542682,2026-01-06 18:25:00,synthetic_normal,normal
TX10008745,W001299,W001459,0.460996,2026-01-06 19:03:00,synthetic_normal,normal
TX10009978,W000572,W000520,1.409497,2026-01-06 19:18:00,synthetic_normal,normal
TX10005956,W001370,W001600,1.12119,2026-01-06 19:18:00,synthetic_normal,normal
TX10006670,W002084,W001498,0.874881,2026-01-06 19:25:00,synthetic_normal,normal
TX10003183,W002137,W000612,0.577642,2026-01-06 19:56:00,synthetic_normal,normal
TX10009867,W000949,W001966,0.271156,2026-01-06 20:16:00,synthetic_normal,normal
TX10008177,W002189,W000946,1.657097,2026-01-06 21:13:00,synthetic_normal,normal
