txid,timestamp,block_height,time_step,input_addresses,output_addresses,input_amounts,output_amounts,fee_btc,num_inputs,num_outputs,total_input_amount_btc,total_output_amount_btc,script_type,source_wallet,destination_wallet,transaction_frequency_24h,avg_time_gap_min,wallet_degree,unique_ip_count,country_count,asn_count,ground_truth,scenario
TX10006055,2026-01-02 15:45:00,850190,2,W000719,W002377|W001147|W001670,0.362955,0.171355|0.037289|0.153211,0.001101,1,3,0.362955,0.361855,P2SH,W000719,W002377,10,262.702,2,1,2,2,synthetic_normal,normal
TX10005747,2026-01-02 16:30:00,850195,2,W001437,W000437,0.440292,0.438357,0.001935,1,1,0.440292,0.438357,P2SH,W001437,W000437,2,58.853,3,4,2,2,synthetic_normal,normal
TX10007375,2026-01-02 17:05:00,850198,2,W001366|W000546,W000146|W000257|W000857|W000006,0.144629|0.398411,0.141740|0.070545|0.195552|0.133320,0.001883,2,4,0.54304,0.541157,P2WSH,W001366,W000146,5,259.302,15,1,2,2,synthetic_normal,normal
TX10008481,2026-01-02 17:35:00,850201,2,W001939,W000931|W001913|W002419|W000196,0.116445,0.060503|0.024619|0.012421|0.015347,0.003555,1,4,0.116445,0.11289,P2WPKH,W001939,W000931,12,144.755,17,2,1,2,synthetic_normal,normal
TX10005119,2026-01-02 17:38:00,850201,2,W001713,W000894|W001012|W001991|W000371,1.073289,0.642911|0.173157|0.034800|0.218731,0.00369,1,4,1.073289,1.069599,P2WPKH,W001713,W000894,12,231.953,16,3,2,2,synthetic_normal,normal
TX10006665,2026-01-02 17:51:00,850203,2,W000916|W000315|W000969,W002491|W000088|W001104|W002122,0.093177|0.036477|0.146232,0.144822|0.016126|0.017954|0.096230,0.000753,3,4,0.275885,0.275132,P2PKH,W000916,W002491,14,128.096,7,1,1,1,synthetic_normal,normal
TX10005485,2026-01-02 18:04:00,850204,2,W000798|W001111,W000881,0.313812|0.005025,0.315256,0.003581,2,1,0.318837,0.315256,P2WSH,W000798,W000881,13,18.036,13,4,2,2,synthetic_normal,normal
TX10002778,2026-01-02 18:25:00,850206,2,W000303,W001660|W001267,0.210430,0.020211|0.187535,0.002684,1,2,0.21043,0.207746,P2SH,W000303,W001660,14,338.389,15,2,2,2,synthetic_normal,normal
TX10007702,2026-01-02 18:30:00,850207,2,W000978|W000205|W002298,W001735|W000881|W001982|W001919,0.216117|0.041475|0.143608,0.153775|0.143124|0.083395|0.020250,0.000656,3,4,0.4012,0.400544,P2PKH,W000978,W001735,5,269.012,19,4,2,2,synthetic_normal,normal
TX10007416,2026-01-02 18:41:00,850208,2,W001784|W000071|W000183,W000269,0.042931|0.132824|0.099719,0.275197,0.000278,3,1,0.275475,0.275197,P2WSH,W001784,W000269,4,24.401,19,2,2,2,synthetic_normal,normal
TX10002344,2026-01-02 18:53:00,850209,2,W001403,W000974,0.370939,0.368778,0.00216,1,1,0.370939,0.368778,P2WPKH,W001403,W000974,13,150.41,3,4,1,2,synthetic_normal,normal
TX10005570,2026-01-02 20:03:00,850216,2,W000281,W000850,0.186722,0.183741,0.002981,1,1,0.186722,0.183741,P2PKH,W000281,W000850,11,272.303,6,2,2,1,synthetic_normal,normal
TX10006654,2026-01-02 21:00:00,850222,2,W000849|W001502,W001683,0.354042|0.097114,0.448117,0.003039,2,1,0.451157,0.448117,P2WSH,W000849,W001683,1,55.747,7,3,2,1,synthetic_normal,normal
TX10000200,2026-01-02 21:51:00,850227,2,W001942|W002165|W002481|W002188|W001935,W000747|W001681,0.176010|0.820928|0.534472|0.484381|0.432168,1.482575|0.893900,0.071484,5,2,2.447959,2.376474,P2PKH,W001942,W000747,129,0.957,68,8,4,6,synthetic_anomalous,rapid_chain
TX10009247,2026-01-02 23:17:00,850235,2,W002263,W001901|W001742|W001785|W001955,0.533843,0.060776|0.222644|0.201222|0.048530,0.000671,1,4,0.533843,0.533172,P2WSH,W002263,W001901,11,252.936,14,1,1,1,synthetic_normal,normal
TX10004185,2026-01-02 23:26:00,850236,2,W001849|W002363|W001345,W000151|W001499,0.091647|0.190481|0.152755,0.060360|0.371300,0.003222,3,2,0.434882,0.43166,P2WPKH,W001849,W000151,4,107.206,10,2,2,2,synthetic_normal,normal
TX10002250,2026-01-03 00:47:00,850244,2,W000331|W001660,W001231|W001026,0.152392|0.258415,0.232954|0.174231,0.003621,2,2,0.410807,0.407186,P2PKH,W000331,W001231,5,167.619,1,3,2,2,synthetic_normal,normal
TX10005001,2026-01-03 00:50:00,850245,2,W001891|W001322,W001442,0.030570|0.338882,0.366625,0.002827,2,1,0.369452,0.366625,P2SH,W001891,W001442,14,194.142,4,1,1,1,synthetic_normal,normal
TX10003044,2026-01-03 01:00:00,850246,2,W001715|W001761,W001802,0.364241|0.055507,0.416753,0.002996,2,1,0.419748,0.416753,P2PKH,W001715,W001802,8,40.036,18,1,1,1,synthetic_normal,normal
TX10001579,2026-01-03 01:02:00,850246,2,W002111,W001111|W001215,0.078009,0.001384|0.076271,0.000354,1,2,0.078009,0.077655,P2PKH,W002111,W001111,7,359.143,3,3,1,2,synthetic_normal,normal
TX10005950,2026-01-03 02:27:00,850254,2,W001096,W002229,0.477715,0.474704,0.003011,1,1,0.477715,0.474704,P2PKH,W001096,W002229,12,93.24,2,2,2,1,synthetic_normal,normal
TX10004473,2026-01-03 02:40:00,850256,2,W002464|W002455,W001645|W001588|W001463,0.367260|0.106193,0.126224|0.208599|0.135196,0.003435,2,3,0.473454,0.470019,P2WSH,W002464,W001645,1,194.499,6,2,2,1,synthetic_normal,normal
TX10007166,2026-01-03 03:31:00,850261,2,W001799|W001010|W000460,W000694|W001717|W000462,0.309601|0.239995|0.067725,0.343284|0.106836|0.163381,0.003819,3,3,0.617321,0.613502,P2SH,W001799,W000694,3,207.832,2,3,1,1,synthetic_normal,normal
